asset,file,pc1_evr_bar_norm,snapshots,bars
BTC,btc_2026-05-02.npz,0.9302188864137723,86394,1440
BTC,btc_2026-05-03.npz,0.9043989618161737,86395,1440
BTC,btc_2026-05-04.npz,0.928432666576117,86400,1440
BTC,btc_2026-05-05.npz,0.9308592251491663,86400,1440
BTC,btc_2026-05-06.npz,0.9069862910119464,86400,1440
BTC,btc_2026-05-07.npz,0.9491123224966314,86400,1440
BTC,btc_2026-05-08.npz,0.8913620473095164,86400,1440
BTC,btc_2026-05-09.npz,0.9118525777930437,86400,1440
BTC,btc_2026-05-10.npz,0.894361762653555,86398,1440
BTC,btc_2026-05-11.npz,0.9257433150478257,86400,1440
BTC,btc_2026-05-12.npz,0.9444986843955375,86400,1440
BTC,btc_2026-05-13.npz,0.9590885835753938,86400,1440
BTC,btc_2026-05-14.npz,0.932298251328285,86400,1440
BTC,btc_2026-05-15.npz,0.9128260551200279,86400,1440
BTC,btc_2026-05-16.npz,0.9285262178843782,86389,1440
BTC,btc_2026-05-17.npz,0.9174406692602984,86395,1440
BTC,btc_2026-05-18.npz,0.9210520230273456,86400,1440
BTC,btc_2026-05-19.npz,0.9346560647169101,86400,1440
BTC,btc_2026-05-20.npz,0.9487155733381692,86400,1440
BTC,btc_2026-05-21.npz,0.9295539980035679,86400,1440
BTC,btc_2026-05-22.npz,0.9539018254354532,86399,1440
BTC,btc_2026-05-23.npz,0.9669086716890977,86400,1440
BTC,btc_2026-05-24.npz,0.966929569833226,86398,1440
BTC,btc_2026-05-25.npz,0.9437503251782909,86398,1440
BTC,btc_2026-05-26.npz,0.8908740214775862,86400,1440
BTC,btc_2026-05-27.npz,0.9585733539005599,86400,1440
BTC,btc_2026-05-28.npz,0.9239204845880405,86398,1440
BTC,btc_2026-05-29.npz,0.9555522855964358,86399,1440
BTC,btc_2026-05-30.npz,0.9132958842292248,86340,1440
BTC,btc_2026-05-31.npz,0.9242136859898967,86399,1440
BTC,btc_2026-06-01.npz,0.926911850257631,86400,1440
BTC,btc_2026-06-02.npz,0.9168708805479274,86400,1440
BTC,btc_2026-06-03.npz,0.8911764855967448,86400,1440
BTC,btc_2026-06-04.npz,0.8883152611443841,86400,1440
BTC,btc_2026-06-05.npz,0.8338645232588847,86400,1440
BTC,btc_2026-06-06.npz,0.9095657035585354,86400,1440
BTC,btc_2026-06-07.npz,0.917957767086448,86400,1440
BTC,btc_2026-06-08.npz,0.9081803992083204,86400,1440
BTC,btc_2026-06-09.npz,0.902583633256517,86399,1440
BTC,btc_2026-06-10.npz,0.9087537606258214,86400,1440
BTC,btc_2026-06-11.npz,0.9130287923098428,86400,1440
BTC,btc_2026-06-12.npz,0.930823688446932,86400,1440
BTC,btc_2026-06-13.npz,0.9556383585665864,86400,1440
BTC,btc_2026-06-14.npz,0.9067127052641449,86398,1440
BTC,btc_2026-06-15.npz,0.9389168890040284,86400,1440
BTC,btc_2026-06-16.npz,0.9247836300655337,86400,1440
BTC,btc_2026-06-17.npz,0.9531069620449535,86400,1440
BTC,btc_2026-06-18.npz,0.925675913655758,86400,1440
BTC,btc_2026-06-19.npz,0.9282636960839841,86400,1440
BTC,btc_2026-06-20.npz,0.9017088955223899,86398,1440
BTC,btc_2026-06-21.npz,0.8857683979709523,86399,1440
BTC,btc_2026-06-22.npz,0.9058322083873348,86400,1440
BTC,btc_2026-06-23.npz,0.8774124139465557,86400,1440
BTC,btc_2026-06-24.npz,0.9174734887044185,86400,1440
BTC,btc_2026-06-25.npz,0.7731630563660681,86400,1440
BTC,btc_2026-06-26.npz,0.8110479682376966,86400,1440
ETH,eth_2026-05-02.npz,0.7940573471701655,86385,1440
ETH,eth_2026-05-03.npz,0.8315384858260018,86388,1440
ETH,eth_2026-05-04.npz,0.8524226202828478,86397,1440
ETH,eth_2026-05-05.npz,0.9206617901864225,86399,1440
ETH,eth_2026-05-06.npz,0.8853078799288815,86397,1440
ETH,eth_2026-05-07.npz,0.8636653037558081,86399,1440
ETH,eth_2026-05-08.npz,0.9225455991278314,86400,1440
ETH,eth_2026-05-09.npz,0.8650462545118079,86354,1440
ETH,eth_2026-05-10.npz,0.8975730808461929,86373,1440
ETH,eth_2026-05-11.npz,0.8977799132077039,86400,1440
ETH,eth_2026-05-12.npz,0.8910456079199524,86398,1440
ETH,eth_2026-05-13.npz,0.8874312205382717,86395,1440
ETH,eth_2026-05-14.npz,0.8809371260196565,86397,1440
ETH,eth_2026-05-15.npz,0.8763382717686642,86394,1440
ETH,eth_2026-05-16.npz,0.8786804269980449,86374,1440
ETH,eth_2026-05-17.npz,0.9350417722686949,86390,1440
ETH,eth_2026-05-18.npz,0.9010759235600044,86400,1440
ETH,eth_2026-05-19.npz,0.9589827784284678,86400,1440
ETH,eth_2026-05-20.npz,0.9659492134166294,86398,1440
ETH,eth_2026-05-21.npz,0.9608475938558645,86399,1440
ETH,eth_2026-05-22.npz,0.9449527111797698,86399,1440
ETH,eth_2026-05-23.npz,0.9456187409712055,86396,1440
ETH,eth_2026-05-24.npz,0.9466451686950164,86383,1440
ETH,eth_2026-05-25.npz,0.959470042114966,86391,1440
ETH,eth_2026-05-26.npz,0.94967965775638,86399,1440
ETH,eth_2026-05-27.npz,0.9684749942764983,86395,1440
ETH,eth_2026-05-28.npz,0.9407430290675092,86398,1440
ETH,eth_2026-05-29.npz,0.9279516093705726,86399,1440
ETH,eth_2026-05-30.npz,0.9277189179452877,86375,1440
ETH,eth_2026-05-31.npz,0.9339328055587545,86397,1440
ETH,eth_2026-06-01.npz,0.9237909756334083,86400,1440
ETH,eth_2026-06-02.npz,0.8704836451826113,86400,1440
ETH,eth_2026-06-03.npz,0.8449385634619025,86400,1440
ETH,eth_2026-06-04.npz,0.8339177071741991,86400,1440
ETH,eth_2026-06-05.npz,0.8270017768822523,86400,1440
ETH,eth_2026-06-06.npz,0.8336933869182989,86400,1440
ETH,eth_2026-06-07.npz,0.8270341438525566,86400,1440
ETH,eth_2026-06-08.npz,0.8247387066717369,86400,1440
ETH,eth_2026-06-09.npz,0.7659618420346551,86400,1440
ETH,eth_2026-06-10.npz,0.6801070922856143,86400,1440
ETH,eth_2026-06-11.npz,0.7537835792868024,86400,1440
ETH,eth_2026-06-12.npz,0.797514219400431,86400,1440
ETH,eth_2026-06-13.npz,0.7863652985583661,86398,1440
ETH,eth_2026-06-14.npz,0.7628877386309373,86397,1440
ETH,eth_2026-06-15.npz,0.730803468185721,86400,1440
ETH,eth_2026-06-16.npz,0.7895195714407246,86399,1440
ETH,eth_2026-06-17.npz,0.7933879508546584,86400,1440
ETH,eth_2026-06-18.npz,0.8023278779006812,86400,1440
ETH,eth_2026-06-19.npz,0.84395935398009,86398,1440
ETH,eth_2026-06-20.npz,0.837218102734725,86394,1440
ETH,eth_2026-06-21.npz,0.9047414316045073,86400,1440
ETH,eth_2026-06-22.npz,0.9277559554991841,86399,1440
ETH,eth_2026-06-23.npz,0.890345414708534,86399,1440
ETH,eth_2026-06-24.npz,0.8655415125870833,86400,1440
ETH,eth_2026-06-25.npz,0.8380329932373435,86400,1440
ETH,eth_2026-06-26.npz,0.789990789322185,86399,1440
SOL,sol_2026-05-02.npz,0.917641856581766,84519,1440
SOL,sol_2026-05-03.npz,0.9292028085030904,85067,1440
SOL,sol_2026-05-04.npz,0.9335733079738928,85997,1440
SOL,sol_2026-05-05.npz,0.9335068607995688,85883,1440
SOL,sol_2026-05-06.npz,0.9447300678434548,86127,1440
SOL,sol_2026-05-07.npz,0.9188590468469754,86108,1440
SOL,sol_2026-05-08.npz,0.9316826906879675,86189,1440
SOL,sol_2026-05-09.npz,0.9354522192388789,85763,1440
SOL,sol_2026-05-10.npz,0.9402807188688055,85994,1440
