asset,horizon,horizon_seconds,train,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,n,levels
ETH,20,6000,3000,-0.02162410431156503,-0.013758691466437156,-0.012779674721015821,0.008844429590549208,0.000979016745421335,0.5177765884241915,0.5235109717868338,0.5249636822387033,13079,10
SOL,20,6000,3000,-0.02723167208950894,-0.01706004961424923,-0.013774663596859416,0.013457008492649525,0.003285386017389813,0.5105894946096796,0.5096719932716569,0.5040140683538497,13079,10
XRP,20,6000,3000,-0.02587284072876095,-0.01113034696514048,-0.014253061323502347,0.011619779405258601,-0.0031227143583618666,0.5027142747916508,0.5134949155134184,0.5266457680250783,13079,10
BTC,2,600,6000,-0.0019056311309177953,-0.0011664859212630052,-0.0005959607362886477,0.0013096703946291477,0.0005705251849743576,0.506388036050312,0.5152025354065564,0.5139150242646331,10097,10
ETH,2,600,6000,-0.0016833655210615195,-0.001956448956846213,-0.000569084063716252,0.0011142814573452675,0.001387364893129961,0.5151034960879469,0.5129246310785381,0.5121323165296623,10097,10
SOL,2,600,6000,-0.0030772040355910857,-0.0012522793528255693,-0.00035175196656256347,0.0027254520690285222,0.0009005273862630059,0.49579082895909676,0.5042091710409032,0.5027235812617609,10097,10
XRP,2,600,6000,-0.002866829945332272,-0.0021949307622253222,-0.0008502392060669717,0.0020165907392653004,0.0013446915561583506,0.501931266712885,0.5120332772110527,0.5134198276715857,10097,10
BTC,5,1500,6000,-0.0025517556754304227,-0.006750781061861888,-0.002092782096934309,0.00045897357849611353,0.004657998964927579,0.5068357440063403,0.5136714880126808,0.5139686942738261,10094,10
ETH,5,1500,6000,-0.002869212363915574,-0.008107796854439187,-0.003368261134548467,-0.0004990487706328928,0.0047395357198907195,0.5153556568258372,0.5159500693481276,0.5197146819893006,10094,10
SOL,5,1500,6000,-0.004582597151764789,-0.004353940589232996,-0.0014484177753668614,0.0031341793763979275,0.002905522813866135,0.49900931246284924,0.5059441252229047,0.5053497127006142,10094,10
XRP,5,1500,6000,-0.0038494542693889855,-0.004053501234456025,-0.0015828138067535136,0.002266640462635472,0.0024706874277025115,0.507628294036061,0.5175351694075688,0.5221914008321775,10094,10
BTC,10,3000,6000,-0.0031995188358582283,-0.009668843213323619,-0.006878017834451189,-0.0036784989985929606,0.00279082537887243,0.5075825156110616,0.5257210823669343,0.5255228466646843,10089,10
ETH,10,3000,6000,-0.003946288776158768,-0.013633934815030502,-0.0066845141298033095,-0.002738225353644541,0.006949420685227192,0.5154128258499355,0.52046783625731,0.5183863613836852,10089,10
SOL,10,3000,6000,-0.005761810515356958,-0.006287052002678539,-0.0028581900639081947,0.002903620451448763,0.0034288619387703445,0.49568837347606304,0.5052036871840618,0.5060957478441868,10089,10
