bar_s,scheme,lagset,horizon,tag,ar_r2,ar_hit,car_r2,car_hit,own_r2,own_hit,cross_r2,cross_hit,cross_minus_own_r2,cross_minus_ar_r2,cross_minus_car_r2,pnl_gross,pnl_net,pnl_hit,turnover,n_bars,step,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json,pnl_net_0p0bp,pnl_net_0p25bp,pnl_net_0p5bp,pnl_net_1p0bp,train,refit_cap,levels,horizon_seconds
300,pca,ccz,2,300s_pca_ccz_h2,-0.009157228128703176,0.5062991524776667,-0.004250293037467268,0.5110712376880202,-0.006076241016001405,0.5028250744445293,-0.001984829760949436,0.5106703825303505,0.004091411255051969,0.007172398367753741,0.0022654632765178317,0.6671235909261555,0.507945619445084,0.5123693266670996,0.24316830351523255,16128,500,XRP,0.005118673361662829,"[{""asset"":""BTC"",""ar_r2"":-0.009830989530663858,""car_r2"":-0.003857884987524818,""own_r2"":-0.005678691304271233,""cross_r2"":-0.0025439759460994527,""cross_minus_own_r2"":0.00313471535817178,""ar_hit"":0.511109414369703,""car_hit"":0.5198136977933878,""own_hit"":0.5046193784836221,""cross_hit"":0.5159196762617393},{""asset"":""ETH"",""ar_r2"":-0.008430110824162895,""car_r2"":-0.004794682706012798,""own_r2"":-0.005834034803443577,""cross_r2"":-0.0021521381164688602,""cross_minus_own_r2"":0.003681896686974717,""ar_hit"":0.5085134000152707,""car_hit"":0.5112621210964343,""own_hit"":0.5009544170420707,""cross_hit"":0.5120256547300909},{""asset"":""SOL"",""ar_r2"":-0.008599377322810353,""car_r2"":-0.004211733341942692,""own_r2"":-0.005991774102365843,""cross_r2"":-0.0015614144889672943,""cross_minus_own_r2"":0.004430359613398549,""ar_hit"":0.501794304039093,""car_hit"":0.5050011453004505,""own_hit"":0.5027105443994808,""cross_hit"":0.5043139650301596},{""asset"":""XRP"",""ar_r2"":-0.009768434837175599,""car_r2"":-0.004136871114388763,""own_r2"":-0.006800463853924965,""cross_r2"":-0.0016817904922621363,""cross_minus_own_r2"":0.005118673361662829,""ar_hit"":0.5037794914866,""car_hit"":0.5082079865618081,""own_hit"":0.5030159578529434,""cross_hit"":0.5104222340994121}]",0.6671235909261555,0.5875346051856197,0.507945619445084,0.34876764796401294,3000,200,10,600
300,best,ccz,2,300s_best_ccz_h2,-0.009157228128703176,0.5062991524776667,-0.004250293037467268,0.5110712376880202,-0.005930937288024241,0.5050774986638161,-0.001597357811600253,0.5077307780407727,0.004333579476423988,0.0075598703171029236,0.0026529352258670147,0.5294259378466981,0.37417814620273426,0.5097094919993785,0.23716436242585376,16128,500,XRP,0.006271718781579727,"[{""asset"":""BTC"",""ar_r2"":-0.009830989530663858,""car_r2"":-0.003857884987524818,""own_r2"":-0.005684446395775256,""cross_r2"":-0.002130327047640934,""cross_minus_own_r2"":0.0035541193481343214,""ar_hit"":0.511109414369703,""car_hit"":0.5198136977933878,""own_hit"":0.506222799114301,""cross_hit"":0.5155379094449111},{""asset"":""ETH"",""ar_r2"":-0.008430110824162895,""car_r2"":-0.004794682706012798,""own_r2"":-0.0056221591273057925,""cross_r2"":-0.0016792460179408941,""cross_minus_own_r2"":0.003942913109364898,""ar_hit"":0.5085134000152707,""car_hit"":0.5112621210964343,""own_hit"":0.5023287775826525,""cross_hit"":0.508437046651905},{""asset"":""SOL"",""ar_r2"":-0.008599377322810353,""car_r2"":-0.004211733341942692,""own_r2"":-0.004616052630908696,""cross_r2"":-0.001050485964291692,""cross_minus_own_r2"":0.003565566666617004,""ar_hit"":0.501794304039093,""car_hit"":0.5050011453004505,""own_hit"":0.5030159578529434,""cross_hit"":0.5020997174925556},{""asset"":""XRP"",""ar_r2"":-0.009768434837175599,""car_r2"":-0.004136871114388763,""own_r2"":-0.0078010909981072185,""cross_r2"":-0.0015293722165274914,""cross_minus_own_r2"":0.006271718781579727,""ar_hit"":0.5037794914866,""car_hit"":0.5082079865618081,""own_hit"":0.5087424601053676,""cross_hit"":0.5048484385737192}]",0.5294259378466981,0.4518020420247162,0.37417814620273426,0.2189303545587703,3000,200,10,600
300,sum,ccz,2,300s_sum_ccz_h2,-0.009157228128703176,0.5062991524776667,-0.004250293037467268,0.5110712376880202,-0.006168252343236202,0.5025960143544322,-0.0018020329043328953,0.5110712376880202,0.004366219438903307,0.007355195224370281,0.0024482601331343723,0.69038774314597,0.5421382531963147,0.5123355263157895,0.2264734035283459,16128,500,XRP,0.005234442533528227,"[{""asset"":""BTC"",""ar_r2"":-0.009830989530663858,""car_r2"":-0.003857884987524818,""own_r2"":-0.0055509952700207865,""cross_r2"":-0.0019994749561011993,""cross_minus_own_r2"":0.0035515203139195872,""ar_hit"":0.511109414369703,""car_hit"":0.5198136977933878,""own_hit"":0.503092311216309,""cross_hit"":0.5156906161716424},{""asset"":""ETH"",""ar_r2"":-0.008430110824162895,""car_r2"":-0.004794682706012798,""own_r2"":-0.006223419119501861,""cross_r2"":-0.0020987158084664337,""cross_minus_own_r2"":0.004124703311035427,""ar_hit"":0.5085134000152707,""car_hit"":0.5112621210964343,""own_hit"":0.5036267847598687,""cross_hit"":0.5111857677330687},{""asset"":""SOL"",""ar_r2"":-0.008599377322810353,""car_r2"":-0.004211733341942692,""own_r2"":-0.00607558355428095,""cross_r2"":-0.0015213719571509632,""cross_minus_own_r2"":0.004554211597129987,""ar_hit"":0.501794304039093,""car_hit"":0.5050011453004505,""own_hit"":0.5031686645796747,""cross_hit"":0.5053065587539131},{""asset"":""XRP"",""ar_r2"":-0.009768434837175599,""car_r2"":-0.004136871114388763,""own_r2"":-0.0068230114291412125,""cross_r2"":-0.001588568895612985,""cross_minus_own_r2"":0.005234442533528227,""ar_hit"":0.5037794914866,""car_hit"":0.5082079865618081,""own_hit"":0.5004962968618768,""cross_hit"":0.5121020080934565}]",0.69038774314597,0.6162629981711425,0.5421382531963147,0.3938887632466596,3000,200,10,600
300,distance,ccz,2,300s_distance_ccz_h2,-0.009157228128703176,0.5062991524776667,-0.004250293037467268,0.5110712376880202,-0.006110421399423527,0.5027105443994808,-0.0017992233579435246,0.5092005802855616,0.004311198041480002,0.007358004770759652,0.002451069679523743,0.7050706799534066,0.5752425831610702,0.5112536109964763,0.19833195354771826,16128,500,XRP,0.005283601862862142,"[{""asset"":""BTC"",""ar_r2"":-0.009830989530663858,""car_r2"":-0.003857884987524818,""own_r2"":-0.005621981168913548,""cross_r2"":-0.002154407548247139,""cross_minus_own_r2"":0.0034675736206664087,""ar_hit"":0.511109414369703,""car_hit"":0.5198136977933878,""own_hit"":0.5052302053905474,""cross_hit"":0.5138581354508666},{""asset"":""ETH"",""ar_r2"":-0.008430110824162895,""car_r2"":-0.004794682706012798,""own_r2"":-0.005804307110932383,""cross_r2"":-0.0016856944609300317,""cross_minus_own_r2"":0.004118612650002351,""ar_hit"":0.5085134000152707,""car_hit"":0.5112621210964343,""own_hit"":0.5001908834084141,""cross_hit"":0.5114911811865313},{""asset"":""SOL"",""ar_r2"":-0.008599377322810353,""car_r2"":-0.004211733341942692,""own_r2"":-0.005788973794969898,""cross_r2"":-0.0014139697625807912,""cross_minus_own_r2"":0.004375004032389107,""ar_hit"":0.501794304039093,""car_hit"":0.5050011453004505,""own_hit"":0.5036267847598687,""cross_hit"":0.5042376116667939},{""asset"":""XRP"",""ar_r2"":-0.009768434837175599,""car_r2"":-0.004136871114388763,""own_r2"":-0.007226423522878278,""cross_r2"":-0.0019428216600161363,""cross_minus_own_r2"":0.005283601862862142,""ar_hit"":0.5037794914866,""car_hit"":0.5082079865618081,""own_hit"":0.501794304039093,""cross_hit"":0.5072153928380545}]",0.7050706799534066,0.6401566315572385,0.5752425831610702,0.445414486368734,3000,200,10,600
300,pca,ccz,5,300s_pca_ccz_h5,-0.014584509324260642,0.5044295096990988,-0.008542347243880755,0.5041049335573545,-0.010735252964058584,0.502940277989919,-0.0050748645287899685,0.511818390102337,0.005660388435268615,0.009509644795470673,0.003467482715090786,1.4802140255555614,1.4000567785319031,0.512627197039778,0.12248032244427899,16128,500,SOL,0.0072703548077130975,"[{""asset"":""BTC"",""ar_r2"":-0.0172599609731392,""car_r2"":-0.008141900083744824,""own_r2"":-0.009973980761329715,""cross_r2"":-0.005019329552715224,""cross_minus_own_r2"":0.004954651208614491,""ar_hit"":0.510844661677104,""car_hit"":0.5012219337100963,""own_hit"":0.49434855659080496,""cross_hit"":0.5140522376661066},{""asset"":""ETH"",""ar_r2"":-0.011682771540184378,""car_r2"":-0.01052814267385993,""own_r2"":-0.01097389591156217,""cross_r2"":-0.003964824702972436,""cross_minus_own_r2"":0.007009071208589734,""ar_hit"":0.505727814266076,""car_hit"":0.5063387811211242,""own_hit"":0.5073316022605774,""cross_hit"":0.515961509088132},{""asset"":""SOL"",""ar_r2"":-0.012866268616251064,""car_r2"":-0.007468004835688102,""own_r2"":-0.011847856721235228,""cross_r2"":-0.004577501913522131,""cross_minus_own_r2"":0.0072703548077130975,""ar_hit"":0.5028257217045975,""car_hit"":0.5021383839926684,""own_hit"":0.5028257217045975,""cross_hit"":0.5026729799908355},{""asset"":""XRP"",""ar_r2"":-0.016529036167467925,""car_r2"":-0.008031341382230162,""own_r2"":-0.010145278462107221,""cross_r2"":-0.006737801945950084,""cross_minus_own_r2"":0.0034074765161571374,""ar_hit"":0.4983198411486177,""car_hit"":0.5067206354055293,""own_hit"":0.5072552314036963,""cross_hit"":0.5145868336642737}]",1.4802140255555614,1.4401354020437322,1.4000567785319031,1.3198995315082447,3000,200,10,1500
300,pca,ccz,10,300s_pca_ccz_h10,-0.01876742457660635,0.5057109022843609,-0.013687512501089572,0.5037436014974406,-0.01652937709763702,0.4979562991825197,-0.008759060368492111,0.5121667048666819,0.0077703167291449105,0.01000836420811424,0.004928452132597461,2.2931934831417666,2.245762175127968,0.5144513356844623,0.07250276370192307,16128,500,SOL,0.010334296326551362,"[{""asset"":""BTC"",""ar_r2"":-0.023882674017986272,""car_r2"":-0.014897798019204656,""own_r2"":-0.01328416842752489,""cross_r2"":-0.007357835228286369,""cross_minus_own_r2"":0.00592633319923852,""ar_hit"":0.5123386049354419,""car_hit"":0.5044694017877607,""own_hit"":0.4882725953090381,""cross_hit"":0.5153946061578425},{""asset"":""ETH"",""ar_r2"":-0.014558893194493994,""car_r2"":-0.014963331996208362,""own_r2"":-0.016575766340512832,""cross_r2"":-0.00795574353449613,""cross_minus_own_r2"":0.008620022806016703,""ar_hit"":0.5128734051493621,""car_hit"":0.5050042020016808,""own_hit"":0.5075254030101612,""cross_hit"":0.5171518068607227},{""asset"":""SOL"",""ar_r2"":-0.015861170065195385,""car_r2"":-0.01223569651371692,""own_r2"":-0.018802396536617527,""cross_r2"":-0.008468100210066165,""cross_minus_own_r2"":0.010334296326551362,""ar_hit"":0.5033234013293605,""car_hit"":0.5011842004736802,""own_hit"":0.5027122010848805,""cross_hit"":0.50026740010696},{""asset"":""XRP"",""ar_r2"":-0.020766961028749753,""car_r2"":-0.012653223475228348,""own_r2"":-0.017455177085892837,""cross_r2"":-0.01125456250111978,""cross_minus_own_r2"":0.0062006145847730565,""ar_hit"":0.4943081977232791,""car_hit"":0.5043166017266407,""own_hit"":0.4933149973259989,""cross_hit"":0.5158530063412026}]",2.2931934831417666,2.269477829134867,2.245762175127968,2.1983308671141706,3000,200,10,3000
300,pca,ccz,20,300s_pca_ccz_h20,-0.023300089103823363,0.5167826286413335,-0.015545157919549635,0.5160371588041899,-0.023275479055973103,0.5091176695466014,-0.013415683637645559,0.519516018044193,0.009859795418327544,0.009884405466177804,0.0021294742819040757,4.3546688272585685,4.323489684814419,0.520092946965555,0.04769640881772882,16128,500,SOL,0.013457008492649525,"[{""asset"":""BTC"",""ar_r2"":-0.027776784735583204,""car_r2"":-0.020231543632371674,""own_r2"":-0.018373299094057494,""cross_r2"":-0.012855334909204652,""cross_minus_own_r2"":0.005517964184852842,""ar_hit"":0.5345209878431073,""car_hit"":0.5174707546448505,""own_hit"":0.5053903203608838,""cross_hit"":0.5224405535591407},{""asset"":""ETH"",""ar_r2"":-0.01880391741663967,""car_r2"":-0.013758691466437156,""own_r2"":-0.02162410431156503,""cross_r2"":-0.012779674721015821,""cross_minus_own_r2"":0.008844429590549208,""ar_hit"":0.5271045186940898,""car_hit"":0.5235109717868338,""own_hit"":0.5177765884241915,""cross_hit"":0.5249636822387033},{""asset"":""SOL"",""ar_r2"":-0.022421316654032353,""car_r2"":-0.01706004961424923,""own_r2"":-0.02723167208950894,""cross_r2"":-0.013774663596859416,""cross_minus_own_r2"":0.013457008492649525,""ar_hit"":0.5001146876672529,""car_hit"":0.5096719932716569,""own_hit"":0.5105894946096796,""cross_hit"":0.5040140683538497},{""asset"":""XRP"",""ar_r2"":-0.024198337609038223,""car_r2"":-0.01113034696514048,""own_r2"":-0.02587284072876095,""cross_r2"":-0.014253061323502347,""cross_minus_own_r2"":0.011619779405258601,""ar_hit"":0.5053903203608838,""car_hit"":0.5134949155134184,""own_hit"":0.5027142747916508,""cross_hit"":0.5266457680250783}]",4.3546688272585685,4.339079256036493,4.323489684814419,4.292310542370269,3000,200,10,6000
60,pca,ccz,5,60s_pca_ccz_h5,-0.008222604684411383,0.5077571321805016,-0.0031431341726171347,0.5063332732005257,-0.00741385156061608,0.5015913718011494,-0.010595790652830173,0.5034179058320233,-0.003181939092214092,-0.0023731859684187895,-0.007452656480213038,1.0088045049854502,-0.9086464851317363,0.5041472289178711,0.49418203118959453,80640,500,XRP,0.005152703113167512,"[{""asset"":""BTC"",""ar_r2"":-0.00839814206468037,""car_r2"":-0.0019090691304040064,""own_r2"":-0.007629068953250107,""cross_r2"":-0.012896625907394377,""cross_minus_own_r2"":-0.00526755695414427,""ar_hit"":0.5078086745870165,""car_hit"":0.5089297219287169,""own_hit"":0.5031054299925264,""cross_hit"":0.5069066824730046},{""asset"":""ETH"",""ar_r2"":-0.009427451571930368,""car_r2"":-0.004872951087183663,""own_r2"":-0.007895683724920444,""cross_r2"":-0.009980971049360576,""cross_minus_own_r2"":-0.0020852873244401327,""ar_hit"":0.5074092209365255,""car_hit"":0.5063010591964539,""own_hit"":0.5019070690410535,""cross_hit"":0.5028992603664665},{""asset"":""SOL"",""ar_r2"":-0.007301982354334324,""car_r2"":-0.0037742808242402504,""own_r2"":-0.0064123266594857675,""cross_r2"":-0.016939941862925245,""cross_minus_own_r2"":-0.010527615203439478,""ar_hit"":0.5063783728062263,""car_hit"":0.508130814627735,""own_hit"":0.5019070690410535,""cross_hit"":0.5029894595778677},{""asset"":""XRP"",""ar_r2"":-0.007762842746700471,""car_r2"":-0.0020162356486406185,""own_r2"":-0.007718326904808004,""cross_r2"":-0.0025656237916404923,""cross_minus_own_r2"":0.005152703113167512,""ar_hit"":0.5094322603922378,""car_hit"":0.5019714970491972,""own_hit"":0.49944591912996417,""cross_hit"":0.5008762209107543}]",1.0088045049854502,0.05007900992685682,-0.9086464851317363,-2.8260974752489223,3000,200,10,300
60,best,low,5,60s_best_low_h5,-0.002316807746713001,0.507567658083547,-0.0013660978970370663,0.5060090425463398,-0.002127074038639376,0.5051492277768475,-0.0016979040373094612,0.505059059935852,0.0004291700013299149,0.0006189037094035399,-0.00033180614027239486,1.5437022799998292,0.41656519888226756,0.5061499436302141,0.29039446620228837,80640,500,XRP,0.0009944334933820187,"[{""asset"":""BTC"",""ar_r2"":-0.001226811896247737,""car_r2"":-0.0006598292533863681,""own_r2"":-0.0017802863346931819,""cross_r2"":-0.0010321912429209767,""cross_minus_own_r2"":0.0007480950917722051,""ar_hit"":0.5106462457975346,""car_hit"":0.5092164414617495,""own_hit"":0.5067947908750144,""cross_hit"":0.5081601896100885},{""asset"":""ETH"",""ar_r2"":-0.0029324250127953366,""car_r2"":-0.00207017631894324,""own_r2"":-0.0024659933829267455,""cross_r2"":-0.0033840604327124435,""cross_minus_own_r2"":-0.000918067049785698,""ar_hit"":0.5104659101155437,""car_hit"":0.5077351126453956,""own_hit"":0.5040768745250087,""cross_hit"":0.5047595738925457},{""asset"":""SOL"",""ar_r2"":-0.0022540723710788857,""car_r2"":-0.0013189180912813736,""own_r2"":-0.0020136256322633717,""cross_r2"":-0.001121407162312238,""cross_minus_own_r2"":0.0008922184699511337,""ar_hit"":0.5044633081292749,""car_hit"":0.5038965388430178,""own_hit"":0.5053392242989451,""cross_hit"":0.5051073641363854},{""asset"":""XRP"",""ar_r2"":-0.002853921706730045,""car_r2"":-0.0014154679245372837,""own_r2"":-0.002248390804674205,""cross_r2"":-0.0012539573112921865,""cross_minus_own_r2"":0.0009944334933820187,""ar_hit"":0.5046951682918347,""car_hit"":0.5031880772351963,""own_hit"":0.5043860214084217,""cross_hit"":0.5022091121043886}]",1.5437022799998292,0.9801337394410483,0.41656519888226756,-0.7105718822352947,3000,200,10,300
5,pca,ccz,1,5s_pca_ccz_h1,-0.0032407865351528065,0.29233867205722286,0.0012903536680171634,0.30695303996268075,0.0014061629536410436,0.310771523350438,0.004612413280508015,0.3220100554605297,0.0032062503268669718,0.007853199815660822,0.003322059612490852,11.34460820929301,-37.324488791914575,0.36717407581854855,1.0090571557662682,967680,4838,SOL,0.007448876974267882,"[{""asset"":""BTC"",""ar_r2"":-0.002727059611442817,""car_r2"":0.0008753355490255244,""own_r2"":0.006659155192152433,""cross_r2"":0.006656440156275978,""cross_minus_own_r2"":-2.715035876454941e-06,""ar_hit"":0.2951288031928679,""car_hit"":0.3166112061369409,""own_hit"":0.3300388742030788,""cross_hit"":0.3315762193541699},{""asset"":""ETH"",""ar_r2"":-0.0035408785288666422,""car_r2"":0.00045673160283610237,""own_r2"":0.0018026269937152506,""cross_r2"":0.0014510679050037112,""cross_minus_own_r2"":-0.0003515590887115394,""ar_hit"":0.3373938734255948,""car_hit"":0.3479116778106049,""own_hit"":0.3651935935313326,""cross_hit"":0.3649406520499663},{""asset"":""SOL"",""ar_r2"":-0.003365556292027394,""car_r2"":0.0023869222832209047,""own_r2"":-0.0017706922044014028,""cross_r2"":0.005678184769866479,""cross_minus_own_r2"":0.007448876974267882,""ar_hit"":0.26171668480796145,""car_hit"":0.27772974654019594,""own_hit"":0.26508681905354275,""cross_hit"":0.2902918156844451},{""asset"":""XRP"",""ar_r2"":-0.0033296517082743726,""car_r2"":0.0014424252369861223,""own_r2"":-0.0010664381669021061,""cross_r2"":0.0046639602908858935,""cross_minus_own_r2"":0.005730398457788,""ar_hit"":0.2751153268024672,""car_hit"":0.2855595293629814,""own_hit"":0.28276680661379777,""cross_hit"":0.30123153475353753}]",11.34460820929301,-12.98994029131078,-37.324488791914575,-85.99358579312215,3000,200,10,5
