bar_s,scheme,lagset,horizon,horizon_seconds,train,levels,kind,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,pnl_net,pnl_gross,pnl_net_0p25bp,pnl_net_0p5bp,pnl_net_1p0bp,pnl_hit,turnover,frac_traded,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json
300,pca,ccz,40,12000,3000,10,real,-0.03901709933626296,-0.03253162773460877,-0.03641949046250503,0.0025976088737579284,-0.003887862727896263,0.510912014702504,0.5250019143885443,0.5197947775480511,5.331752222568429,5.372614164994081,5.352183193781256,5.331752222568429,5.290890280142781,0.5197107669702067,0.06260447744086028,1.0,SOL,0.011126728717029577,"[{""asset"":""BTC"",""own_r2"":-0.031985381505238,""car_r2"":-0.028359146342207264,""cross_r2"":-0.03319626463422254,""cross_minus_own_r2"":-0.0012108831289845412,""cross_minus_car_r2"":-0.0048371182920152744,""own_hit"":0.4992725323531664,""car_hit"":0.5399341450340761,""cross_hit"":0.5136687342062946,""n"":13059},{""asset"":""ETH"",""own_r2"":-0.03934058373712479,""car_r2"":-0.033511674156578186,""cross_r2"":-0.03965264988991568,""cross_minus_own_r2"":-0.0003120661527908908,""cross_minus_car_r2"":-0.006140975733337495,""own_hit"":0.5217857416341221,""car_hit"":0.5452178574163412,""cross_hit"":0.534573857110039,""n"":13059},{""asset"":""SOL"",""own_r2"":-0.04513790167475884,""car_r2"":-0.043200035082274324,""cross_r2"":-0.03401117295772926,""cross_minus_own_r2"":0.011126728717029577,""cross_minus_car_r2"":0.00918886212454506,""own_hit"":0.5060877555708707,""car_hit"":0.5050156979860633,""cross_hit"":0.5022589784822727,""n"":13059},{""asset"":""XRP"",""own_r2"":-0.03960453042793022,""car_r2"":-0.025055655357375306,""cross_r2"":-0.03881787436815265,""cross_minus_own_r2"":0.0007866560597775685,""cross_minus_car_r2"":-0.013762219010777343,""own_hit"":0.516502029251857,""car_hit"":0.5098399571176966,""cross_hit"":0.5286775403935983,""n"":13059}]"
300,pca,ccz,40,12000,3000,10,placebo,-0.03901709933626296,-0.03253162773460877,-0.04761955765682996,-0.008602458320566997,-0.015087929922221188,0.510912014702504,0.5250019143885443,0.5078693915903219,5.656612071825717,5.688761304566615,5.672686688196165,5.656612071825717,5.624462839084822,0.507219821147603,0.050366963404192666,1.0,ETH,0.0001925534095443826,"[{""asset"":""BTC"",""own_r2"":-0.031985381505238,""car_r2"":-0.028359146342207264,""cross_r2"":-0.039644456231256786,""cross_minus_own_r2"":-0.007659074726018789,""cross_minus_car_r2"":-0.011285309889049522,""own_hit"":0.4992725323531664,""car_hit"":0.5399341450340761,""cross_hit"":0.4990212199514525,""n"":12771},{""asset"":""ETH"",""own_r2"":-0.03934058373712479,""car_r2"":-0.033511674156578186,""cross_r2"":-0.03914803032758041,""cross_minus_own_r2"":0.0001925534095443826,""cross_minus_car_r2"":-0.005636356171002221,""own_hit"":0.5217857416341221,""car_hit"":0.5452178574163412,""cross_hit"":0.5129590478427688,""n"":12771},{""asset"":""SOL"",""own_r2"":-0.04513790167475884,""car_r2"":-0.043200035082274324,""cross_r2"":-0.046590271692692475,""cross_minus_own_r2"":-0.0014523700179336352,""cross_minus_car_r2"":-0.0033902366104181514,""own_hit"":0.5060877555708707,""car_hit"":0.5050156979860633,""cross_hit"":0.5021533161068045,""n"":12771},{""asset"":""XRP"",""own_r2"":-0.03960453042793022,""car_r2"":-0.025055655357375306,""cross_r2"":-0.06509547237579016,""cross_minus_own_r2"":-0.025490941947859946,""cross_minus_car_r2"":-0.04003981701841486,""own_hit"":0.516502029251857,""car_hit"":0.5098399571176966,""cross_hit"":0.5173439824602615,""n"":12771}]"
300,pca,ccz,60,18000,3000,10,real,-0.06258778729134534,-0.053285580551509615,-0.07310064804652822,-0.010512860755182873,-0.0198150674950186,0.5104877674668302,0.5203811641997086,0.5173326175320193,4.571103630837211,4.62137884150542,4.5962412361713145,4.571103630837211,4.520828420169001,0.5180664347217633,0.07714471485071477,1.0,SOL,0.005883265383987535,"[{""asset"":""BTC"",""own_r2"":-0.0493889604429707,""car_r2"":-0.04212106346882849,""cross_r2"":-0.07359594277578352,""cross_minus_own_r2"":-0.02420698233281282,""cross_minus_car_r2"":-0.03147487930695503,""own_hit"":0.504103075389217,""car_hit"":0.5314824756499732,""cross_hit"":0.5208988419357312,""n"":13039},{""asset"":""ETH"",""own_r2"":-0.06544403375086372,""car_r2"":-0.046550021785656925,""cross_r2"":-0.07727109151365341,""cross_minus_own_r2"":-0.011827057762789694,""cross_minus_car_r2"":-0.030721069727996486,""own_hit"":0.5096249712401257,""car_hit"":0.5245034128384078,""cross_hit"":0.5225860878901756,""n"":13039},{""asset"":""SOL"",""own_r2"":-0.07461648952753985,""car_r2"":-0.07720916039517567,""cross_r2"":-0.06873322414355232,""cross_minus_own_r2"":0.005883265383987535,""cross_minus_car_r2"":0.00847593625162335,""own_hit"":0.49712401257765165,""car_hit"":0.5080144182836107,""cross_hit"":0.5003451184906818,""n"":13039},{""asset"":""XRP"",""own_r2"":-0.0609016654440071,""car_r2"":-0.047262076556377375,""cross_r2"":-0.07280233375312362,""cross_minus_own_r2"":-0.011900668309116513,""cross_minus_car_r2"":-0.02554025719674624,""own_hit"":0.5310990106603267,""car_hit"":0.5175243500268425,""cross_hit"":0.5255004218114886,""n"":13039}]"
300,pca,ccz,60,18000,3000,10,placebo,-0.06258778729134534,-0.053285580551509615,-0.06989363726076364,-0.007305849969418299,-0.016608056709254027,0.5104877674668302,0.5203811641997086,0.5152144929809427,7.946966265765197,7.974553942337977,7.96076010405159,7.946966265765197,7.919378589192421,0.5153928444074647,0.04328836744512785,1.0,ETH,0.01197665566746342,"[{""asset"":""BTC"",""own_r2"":-0.0493889604429707,""car_r2"":-0.04212106346882849,""cross_r2"":-0.07565068677612796,""cross_minus_own_r2"":-0.026261726333157265,""cross_minus_car_r2"":-0.03352962330729947,""own_hit"":0.504103075389217,""car_hit"":0.5314824756499732,""cross_hit"":0.5187044153399734,""n"":12751},{""asset"":""ETH"",""own_r2"":-0.06544403375086372,""car_r2"":-0.046550021785656925,""cross_r2"":-0.053467378083400297,""cross_minus_own_r2"":0.01197665566746342,""cross_minus_car_r2"":-0.006917356297743371,""own_hit"":0.5096249712401257,""car_hit"":0.5245034128384078,""cross_hit"":0.5154105560348208,""n"":12751},{""asset"":""SOL"",""own_r2"":-0.07461648952753985,""car_r2"":-0.07720916039517567,""cross_r2"":-0.07906806501146013,""cross_minus_own_r2"":-0.004451575483920278,""cross_minus_car_r2"":-0.0018589046162844625,""own_hit"":0.49712401257765165,""car_hit"":0.5080144182836107,""cross_hit"":0.5016861422633518,""n"":12751},{""asset"":""XRP"",""own_r2"":-0.0609016654440071,""car_r2"":-0.047262076556377375,""cross_r2"":-0.07138841917206618,""cross_minus_own_r2"":-0.010486753728059073,""cross_minus_car_r2"":-0.0241263426156888,""own_hit"":0.5310990106603267,""car_hit"":0.5175243500268425,""cross_hit"":0.5250568582856247,""n"":12751}]"
300,pca,ccz,90,27000,3000,10,real,-0.09297046401774078,-0.06528209092412274,-0.1232082420170918,-0.030237777999351012,-0.05792615109296906,0.5021715735260204,0.5071296794526866,0.5035744484587593,7.886043595409012,7.949841147965108,7.917942371687058,7.886043595409012,7.822246042852914,0.5039619343561856,0.09811989012010906,1.0,SOL,-0.006314077512128424,"[{""asset"":""BTC"",""own_r2"":-0.07764718189175013,""car_r2"":-0.06946520516679744,""cross_r2"":-0.14371519092790974,""cross_minus_own_r2"":-0.06606800903615961,""cross_minus_car_r2"":-0.0742499857611123,""own_hit"":0.5100315166423245,""car_hit"":0.5201014682143131,""cross_hit"":0.5008840033822738,""n"":13009},{""asset"":""ETH"",""own_r2"":-0.09739406502021164,""car_r2"":-0.06005320380811918,""cross_r2"":-0.11350614787241309,""cross_minus_own_r2"":-0.016112082852201448,""cross_minus_car_r2"":-0.053452944064293906,""own_hit"":0.511261434391575,""car_hit"":0.5270966254131755,""cross_hit"":0.5240218310400492,""n"":13009},{""asset"":""SOL"",""own_r2"":-0.11111084328748078,""car_r2"":-0.07752007434733299,""cross_r2"":-0.1174249207996092,""cross_minus_own_r2"":-0.006314077512128424,""cross_minus_car_r2"":-0.03990484645227621,""own_hit"":0.4832039357367976,""car_hit"":0.48497194250134523,""cross_hit"":0.4818202782688908,""n"":13009},{""asset"":""XRP"",""own_r2"":-0.08572976587152059,""car_r2"":-0.05408988037424134,""cross_r2"":-0.11818670846843515,""cross_minus_own_r2"":-0.03245694259691456,""cross_minus_car_r2"":-0.06409682809419381,""own_hit"":0.5041894073333846,""car_hit"":0.49634868168191254,""cross_hit"":0.5075716811438236,""n"":13009}]"
300,pca,ccz,90,27000,3000,10,placebo,-0.09297046401774078,-0.06528209092412274,-0.09588429505922458,-0.0029138310414837942,-0.03060220413510184,0.5021715735260204,0.5071296794526866,0.5051686188192752,12.127933712513595,12.142894066469037,12.13541388949131,12.127933712513595,12.112973358558147,0.5049277201610185,0.0235299684734921,1.0,ETH,0.016992844309606348,"[{""asset"":""BTC"",""own_r2"":-0.07764718189175013,""car_r2"":-0.06946520516679744,""cross_r2"":-0.0951434662930355,""cross_minus_own_r2"":-0.017496284401285367,""cross_minus_car_r2"":-0.025678261126238056,""own_hit"":0.5100315166423245,""car_hit"":0.5201014682143131,""cross_hit"":0.4976809999213898,""n"":12721},{""asset"":""ETH"",""own_r2"":-0.09739406502021164,""car_r2"":-0.06005320380811918,""cross_r2"":-0.08040122071060529,""cross_minus_own_r2"":0.016992844309606348,""cross_minus_car_r2"":-0.02034801690248611,""own_hit"":0.511261434391575,""car_hit"":0.5270966254131755,""cross_hit"":0.5261378822419621,""n"":12721},{""asset"":""SOL"",""own_r2"":-0.11111084328748078,""car_r2"":-0.07752007434733299,""cross_r2"":-0.11118243271505013,""cross_minus_own_r2"":-7.158942756935183e-05,""cross_minus_car_r2"":-0.03366235836771714,""own_hit"":0.4832039357367976,""car_hit"":0.48497194250134523,""cross_hit"":0.49209967769829416,""n"":12721},{""asset"":""XRP"",""own_r2"":-0.08572976587152059,""car_r2"":-0.05408988037424134,""cross_r2"":-0.0968100605182074,""cross_minus_own_r2"":-0.011080294646686806,""cross_minus_car_r2"":-0.04272018014396606,""own_hit"":0.5041894073333846,""car_hit"":0.49634868168191254,""cross_hit"":0.5047559154154547,""n"":12721}]"
300,pca,ccz,120,36000,3000,10,real,-0.1122787803444808,-0.10738813603305719,-0.11536171519102345,-0.003082934846542651,-0.00797357915796626,0.5147546035904154,0.5113259881346791,0.5294128977579167,17.20032899428399,17.236217248796365,17.21827312154017,17.20032899428399,17.16444073977162,0.5298849681330638,0.05532334594168018,1.0,ETH,0.014514863364932129,"[{""asset"":""BTC"",""own_r2"":-0.10554147400541902,""car_r2"":-0.12899170326539977,""cross_r2"":-0.13381230805596034,""cross_minus_own_r2"":-0.028270834050541316,""cross_minus_car_r2"":-0.0048206047905605676,""own_hit"":0.5366361044764619,""car_hit"":0.5230757377301796,""cross_hit"":0.5344787734031897,""n"":12979},{""asset"":""ETH"",""own_r2"":-0.11720499343780855,""car_r2"":-0.1039404591774371,""cross_r2"":-0.10269013007287642,""cross_minus_own_r2"":0.014514863364932129,""cross_minus_car_r2"":0.001250329104560688,""own_hit"":0.5270822097233994,""car_hit"":0.5310886817166192,""cross_hit"":0.5399491486247014,""n"":12979},{""asset"":""SOL"",""own_r2"":-0.125197112321489,""car_r2"":-0.11603380382111617,""cross_r2"":-0.11760404143950809,""cross_minus_own_r2"":0.007593070881980912,""cross_minus_car_r2"":-0.001570237618391923,""own_hit"":0.4868633947145389,""car_hit"":0.4890207257878111,""cross_hit"":0.5052007088373527,""n"":12979},{""asset"":""XRP"",""own_r2"":-0.10117154161320663,""car_r2"":-0.08058657786827572,""cross_r2"":-0.10734038119574896,""cross_minus_own_r2"":-0.006168839582542329,""cross_minus_car_r2"":-0.026753803327473236,""own_hit"":0.5084367054472609,""car_hit"":0.5021188073041066,""cross_hit"":0.5380229601664227,""n"":12979}]"
300,pca,ccz,120,36000,3000,10,placebo,-0.1122787803444808,-0.10738813603305719,-0.13745598708930612,-0.02517720674482532,-0.03006785105624893,0.5147546035904154,0.5113259881346791,0.5023441809156095,15.357728358047577,15.37138006214468,15.364554210096134,15.357728358047577,15.344076653950479,0.5024800901132344,0.02152247216948319,0.9990540753586631,ETH,0.0006686800490072198,"[{""asset"":""BTC"",""own_r2"":-0.10554147400541902,""car_r2"":-0.12899170326539977,""cross_r2"":-0.12645340206543088,""cross_minus_own_r2"":-0.020911928060011853,""cross_minus_car_r2"":0.0025383011999688954,""own_hit"":0.5366361044764619,""car_hit"":0.5230757377301796,""cross_hit"":0.48002521471909226,""n"":12691},{""asset"":""ETH"",""own_r2"":-0.11720499343780855,""car_r2"":-0.1039404591774371,""cross_r2"":-0.11653631338880133,""cross_minus_own_r2"":0.0006686800490072198,""cross_minus_car_r2"":-0.012595854211364221,""own_hit"":0.5270822097233994,""car_hit"":0.5310886817166192,""cross_hit"":0.5293515089433457,""n"":12691},{""asset"":""SOL"",""own_r2"":-0.125197112321489,""car_r2"":-0.11603380382111617,""cross_r2"":-0.15398752207480082,""cross_minus_own_r2"":-0.02879040975331182,""cross_minus_car_r2"":-0.037953718253684654,""own_hit"":0.4868633947145389,""car_hit"":0.4890207257878111,""cross_hit"":0.49255377826806396,""n"":12691},{""asset"":""XRP"",""own_r2"":-0.10117154161320663,""car_r2"":-0.08058657786827572,""cross_r2"":-0.15284671082819146,""cross_minus_own_r2"":-0.05167516921498483,""cross_minus_car_r2"":-0.07226013295991573,""own_hit"":0.5084367054472609,""car_hit"":0.5021188073041066,""cross_hit"":0.507446221731936,""n"":12691}]"
300,pca,ccz,40,12000,6000,10,real,-0.015159847807174442,-0.011667530433945195,-0.016343071673878495,-0.0011832238667040529,-0.004675541239933301,0.528432249726613,0.5448354707227359,0.5327815886271001,9.03974430523269,9.072372259994937,9.056058282613812,9.03974430523269,9.007116350470444,0.5332705666810861,0.06490542025511539,1.0,SOL,0.004416522790332111,"[{""asset"":""BTC"",""own_r2"":-0.017413789054332884,""car_r2"":-0.006424654982821076,""cross_r2"":-0.016441918133494937,""cross_minus_own_r2"":0.0009718709208379472,""cross_minus_car_r2"":-0.01001726315067386,""own_hit"":0.5251018987970971,""car_hit"":0.5464757928223481,""cross_hit"":0.5215230142161249,""n"":10059},{""asset"":""ETH"",""own_r2"":-0.013647070218360202,""car_r2"":-0.01415040700734771,""cross_r2"":-0.018574327672870927,""cross_minus_own_r2"":-0.004927257454510725,""cross_minus_car_r2"":-0.004423920665523218,""own_hit"":0.5331543891042847,""car_hit"":0.5433939755442887,""cross_hit"":0.5384233025151606,""n"":10059},{""asset"":""SOL"",""own_r2"":-0.01447671434154385,""car_r2"":-0.011471963753151515,""cross_r2"":-0.010060191551211739,""cross_minus_own_r2"":0.004416522790332111,""cross_minus_car_r2"":0.001411772201939776,""own_hit"":0.515359379660006,""car_hit"":0.5332538025648673,""cross_hit"":0.5184411969380655,""n"":10059},{""asset"":""XRP"",""own_r2"":-0.015101817614460833,""car_r2"":-0.014623095992460478,""cross_r2"":-0.020295849337936378,""cross_minus_own_r2"":-0.005194031723475545,""cross_minus_car_r2"":-0.0056727533454759005,""own_hit"":0.5401133313450641,""car_hit"":0.5562183119594393,""cross_hit"":0.5527388408390496,""n"":10059}]"
300,pca,ccz,40,12000,6000,10,placebo,-0.015159847807174442,-0.011667530433945195,-0.02212071358327866,-0.006960865776104219,-0.010453183149333467,0.528432249726613,0.5448354707227359,0.5217736158018627,8.885320193881437,8.912130215838213,8.898725204859826,8.885320193881437,8.858510171924658,0.5217084270544542,0.05490481662252182,1.0,BTC,-0.00024236770325392065,"[{""asset"":""BTC"",""own_r2"":-0.017413789054332884,""car_r2"":-0.006424654982821076,""cross_r2"":-0.017656156757586805,""cross_minus_own_r2"":-0.00024236770325392065,""cross_minus_car_r2"":-0.011231501774765729,""own_hit"":0.5251018987970971,""car_hit"":0.5464757928223481,""cross_hit"":0.5292191177975643,""n"":9771},{""asset"":""ETH"",""own_r2"":-0.013647070218360202,""car_r2"":-0.01415040700734771,""cross_r2"":-0.02220212738917615,""cross_minus_own_r2"":-0.00855505717081595,""cross_minus_car_r2"":-0.008051720381828442,""own_hit"":0.5331543891042847,""car_hit"":0.5433939755442887,""cross_hit"":0.5176542830825913,""n"":9771},{""asset"":""SOL"",""own_r2"":-0.01447671434154385,""car_r2"":-0.011471963753151515,""cross_r2"":-0.023834791037068648,""cross_minus_own_r2"":-0.009358076695524797,""cross_minus_car_r2"":-0.012362827283917133,""own_hit"":0.515359379660006,""car_hit"":0.5332538025648673,""cross_hit"":0.5033261692764303,""n"":9771},{""asset"":""XRP"",""own_r2"":-0.015101817614460833,""car_r2"":-0.014623095992460478,""cross_r2"":-0.024789779149283042,""cross_minus_own_r2"":-0.00968796153482221,""cross_minus_car_r2"":-0.010166683156822565,""own_hit"":0.5401133313450641,""car_hit"":0.5562183119594393,""cross_hit"":0.5368948930508648,""n"":9771}]"
