bar_s,scheme,lagset,lag_windows,horizon,horizon_seconds,train,levels,kind,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,pnl_net,pnl_gross,pnl_net_0p25bp,pnl_net_0p5bp,pnl_net_1p0bp,pnl_hit,turnover,frac_traded,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json
300,pca,ccz_short,"1,2,3,5",2,600,3000,10,real,-0.0038744040724764117,-0.001845464328727231,-0.0017665916041509355,0.002107812468325476,7.887272457629546e-05,0.5036008230452675,0.5098308184727938,0.5098498704465783,0.3251491550120381,0.5385190818399272,0.4318341184259826,0.3251491550120381,0.11177922818414923,0.5117543799263415,0.32533342506348867,0.9996950522223069,XRP,0.004304367711343238,"[{""asset"":""BTC"",""own_r2"":-0.003521014443246262,""car_r2"":-0.0010240015713469663,""cross_r2"":-0.002350130031523845,""cross_minus_own_r2"":0.001170884411722417,""cross_minus_car_r2"":-0.0013261284601768786,""own_hit"":0.5065538789818625,""car_hit"":0.5178326474622771,""cross_hit"":0.5176040237768633,""n"":13122},{""asset"":""ETH"",""own_r2"":-0.0032636579422660184,""car_r2"":-0.0011148562511291704,""cross_r2"":-0.001609939597099208,""cross_minus_own_r2"":0.0016537183451668103,""cross_minus_car_r2"":-0.0004950833459700377,""own_hit"":0.5025910684346898,""car_hit"":0.5093735711019661,""cross_hit"":0.5089925316262764,""n"":13122},{""asset"":""SOL"",""own_r2"":-0.003353196979440698,""car_r2"":-0.0025271974826457377,""cross_r2"":-0.002050917574371258,""cross_minus_own_r2"":0.0013022794050694397,""cross_minus_car_r2"":0.0004762799082744795,""own_hit"":0.5037341868617589,""car_hit"":0.5035055631763451,""cross_hit"":0.5030483158055175,""n"":13122},{""asset"":""XRP"",""own_r2"":-0.005359746924952669,""car_r2"":-0.0027158020097870494,""cross_r2"":-0.0010553792136094309,""cross_minus_own_r2"":0.004304367711343238,""cross_minus_car_r2"":0.0016604227961776186,""own_hit"":0.5015241579027587,""car_hit"":0.5086114921505868,""cross_hit"":0.5097546105776558,""n"":13122}]"
300,pca,ccz_short,"1,2,3,5",2,600,3000,10,placebo,-0.0038744040724764117,-0.001845464328727231,-0.0016756868315315754,0.0021987172409448363,0.0001697774971956556,0.5036008230452675,0.5098308184727938,0.5082982702197288,-0.045088630970366306,0.2996125655623141,0.1272619672959739,-0.045088630970366306,-0.3897898275030466,0.5097819060256541,0.5373781222740358,0.9959466832956583,XRP,0.004179703530418966,"[{""asset"":""BTC"",""own_r2"":-0.003521014443246262,""car_r2"":-0.0010240015713469663,""cross_r2"":-0.0020710305147977337,""cross_minus_own_r2"":0.0014499839284485283,""cross_minus_car_r2"":-0.0010470289434507674,""own_hit"":0.5065538789818625,""car_hit"":0.5178326474622771,""cross_hit"":0.5113760324139006,""n"":12834},{""asset"":""ETH"",""own_r2"":-0.0032636579422660184,""car_r2"":-0.0011148562511291704,""cross_r2"":-0.0015165532972900575,""cross_minus_own_r2"":0.0017471046449759609,""cross_minus_car_r2"":-0.0004016970461608871,""own_hit"":0.5025910684346898,""car_hit"":0.5093735711019661,""cross_hit"":0.5066230325697366,""n"":12834},{""asset"":""SOL"",""own_r2"":-0.003353196979440698,""car_r2"":-0.0025271974826457377,""cross_r2"":-0.0019351201195048073,""cross_minus_own_r2"":0.0014180768599358906,""cross_minus_car_r2"":0.0005920773631409304,""own_hit"":0.5037341868617589,""car_hit"":0.5035055631763451,""cross_hit"":0.50319463923952,""n"":12834},{""asset"":""XRP"",""own_r2"":-0.005359746924952669,""car_r2"":-0.0027158020097870494,""cross_r2"":-0.001180043394533703,""cross_minus_own_r2"":0.004179703530418966,""cross_minus_car_r2"":0.0015357586152533464,""own_hit"":0.5015241579027587,""car_hit"":0.5086114921505868,""cross_hit"":0.5119993766557581,""n"":12834}]"
300,pca,ccz_short,"1,2,3,5",5,1500,3000,10,real,-0.005277412570267759,-0.0057910473767717185,-0.004437659090510304,0.0008397534797574546,0.0013533882862614144,0.5038874914246513,0.5065172650354448,0.5095662779175242,0.4484036679702403,0.5892669847898774,0.5188353263800591,0.4484036679702403,0.30754035115060313,0.5116091583360206,0.2148289108123183,0.9845203599206954,XRP,0.0030379870980061785,"[{""asset"":""BTC"",""own_r2"":-0.0044062615107189895,""car_r2"":-0.003593664594591095,""cross_r2"":-0.004522554410047341,""cross_minus_own_r2"":-0.00011629289932835185,""cross_minus_car_r2"":-0.0009288898154562464,""own_hit"":0.49737022638920647,""car_hit"":0.5061361384251849,""cross_hit"":0.5116243616129278,""n"":13119},{""asset"":""ETH"",""own_r2"":-0.004659988203717269,""car_r2"":-0.004305219894929602,""cross_r2"":-0.0037579671661880365,""cross_minus_own_r2"":0.0009020210375292326,""cross_minus_car_r2"":0.0005472527287415652,""own_hit"":0.5088040246970044,""car_hit"":0.5114719109688238,""cross_hit"":0.5117768122570318,""n"":13119},{""asset"":""SOL"",""own_r2"":-0.005591202176910004,""car_r2"":-0.009057409504489744,""cross_r2"":-0.006055903494087245,""cross_minus_own_r2"":-0.0004647013171772407,""cross_minus_car_r2"":0.0030015060104024993,""own_hit"":0.5023248723225856,""car_hit"":0.49698909977894656,""cross_hit"":0.4985898315420383,""n"":13119},{""asset"":""XRP"",""own_r2"":-0.0064521983897247726,""car_r2"":-0.0062078955130764335,""cross_r2"":-0.003414211291718594,""cross_minus_own_r2"":0.0030379870980061785,""cross_minus_car_r2"":0.0027936842213578394,""own_hit"":0.5070508422898087,""car_hit"":0.5114719109688238,""cross_hit"":0.5162741062580989,""n"":13119}]"
300,pca,ccz_short,"1,2,3,5",5,1500,3000,10,placebo,-0.005277412570267759,-0.0057910473767717185,-0.004726505878183629,0.0005509066920841299,0.0010645414985880897,0.5038874914246513,0.5065172650354448,0.5051048242537604,-0.09425685853765775,0.1796757758017652,0.042709458632053665,-0.09425685853765775,-0.36818949287708064,0.507832559892582,0.4271520884756321,0.9999220333697177,XRP,0.002358759173258562,"[{""asset"":""BTC"",""own_r2"":-0.0044062615107189895,""car_r2"":-0.003593664594591095,""cross_r2"":-0.005700484881609125,""cross_minus_own_r2"":-0.0012942233708901352,""cross_minus_car_r2"":-0.0021068202870180297,""own_hit"":0.49737022638920647,""car_hit"":0.5061361384251849,""cross_hit"":0.508534019172317,""n"":12831},{""asset"":""ETH"",""own_r2"":-0.004659988203717269,""car_r2"":-0.004305219894929602,""cross_r2"":-0.0037852116540748604,""cross_minus_own_r2"":0.0008747765496424087,""cross_minus_car_r2"":0.0005200082408547413,""own_hit"":0.5088040246970044,""car_hit"":0.5114719109688238,""cross_hit"":0.5075987841945289,""n"":12831},{""asset"":""SOL"",""own_r2"":-0.005591202176910004,""car_r2"":-0.009057409504489744,""cross_r2"":-0.00532688776058432,""cross_minus_own_r2"":0.00026431441632568387,""cross_minus_car_r2"":0.003730521743905424,""own_hit"":0.5023248723225856,""car_hit"":0.49698909977894656,""cross_hit"":0.4969215181981139,""n"":12831},{""asset"":""XRP"",""own_r2"":-0.0064521983897247726,""car_r2"":-0.0062078955130764335,""cross_r2"":-0.00409343921646621,""cross_minus_own_r2"":0.002358759173258562,""cross_minus_car_r2"":0.002114456296610223,""own_hit"":0.5070508422898087,""car_hit"":0.5114719109688238,""cross_hit"":0.5073649754500819,""n"":12831}]"
300,pca,ccz_short,"1,2,3,5",10,3000,3000,10,real,-0.009201818707728016,-0.008513379580573799,-0.011124173746389132,-0.0019223550386611166,-0.0026107941658153333,0.50396522800061,0.5031645569620253,0.5027832850388898,0.7147989549065604,0.8737555812512277,0.7942772680788939,0.7147989549065604,0.5558423285618926,0.5035990348043025,0.24251525874539268,1.0,SOL,0.0012434763881112865,"[{""asset"":""BTC"",""own_r2"":-0.006510994052562946,""car_r2"":-0.010412358953555856,""cross_r2"":-0.0120892370582808,""cross_minus_own_r2"":-0.005578243005717853,""cross_minus_car_r2"":-0.0016768781047249437,""own_hit"":0.5009913070001525,""car_hit"":0.5034314473082202,""cross_hit"":0.501296324538661,""n"":13114},{""asset"":""ETH"",""own_r2"":-0.009967265198561615,""car_r2"":-0.009235640237454934,""cross_r2"":-0.011687568162519035,""cross_minus_own_r2"":-0.0017203029639574208,""cross_minus_car_r2"":-0.0024519279250641013,""own_hit"":0.5086929998474913,""car_hit"":0.50396522800061,""cross_hit"":0.5051852981546439,""n"":13114},{""asset"":""SOL"",""own_r2"":-0.010928407060665224,""car_r2"":-0.007631151964282656,""cross_r2"":-0.009684930672553937,""cross_minus_own_r2"":0.0012434763881112865,""cross_minus_car_r2"":-0.002053778708271281,""own_hit"":0.4993899649229831,""car_hit"":0.4962635351532713,""cross_hit"":0.4962635351532713,""n"":13114},{""asset"":""XRP"",""own_r2"":-0.009400608519122278,""car_r2"":-0.006774367167001749,""cross_r2"":-0.011034959092202756,""cross_minus_own_r2"":-0.0016343505730804786,""cross_minus_car_r2"":-0.004260591925201007,""own_hit"":0.5067866402318133,""car_hit"":0.5089980173859997,""cross_hit"":0.5083879823089827,""n"":13114}]"
300,pca,ccz_short,"1,2,3,5",10,3000,3000,10,placebo,-0.009201818707728016,-0.008513379580573799,-0.009326125469823865,-0.00012430676209584934,-0.0008127458892500661,0.50396522800061,0.5031645569620253,0.504385622953376,0.8299173184167148,0.9905694780522765,0.9102433982344955,0.8299173184167148,0.6692651587811529,0.5039799089090368,0.2506078459333308,0.9996100148194369,SOL,0.0014907116368310103,"[{""asset"":""BTC"",""own_r2"":-0.006510994052562946,""car_r2"":-0.010412358953555856,""cross_r2"":-0.00813274182185042,""cross_minus_own_r2"":-0.0016217477692874738,""cross_minus_car_r2"":0.002279617131705436,""own_hit"":0.5009913070001525,""car_hit"":0.5034314473082202,""cross_hit"":0.496413535007017,""n"":12826},{""asset"":""ETH"",""own_r2"":-0.009967265198561615,""car_r2"":-0.009235640237454934,""cross_r2"":-0.010322588405370148,""cross_minus_own_r2"":-0.00035532320680853324,""cross_minus_car_r2"":-0.0010869481679152138,""own_hit"":0.5086929998474913,""car_hit"":0.50396522800061,""cross_hit"":0.508810229221893,""n"":12826},{""asset"":""SOL"",""own_r2"":-0.010928407060665224,""car_r2"":-0.007631151964282656,""cross_r2"":-0.009437695423834214,""cross_minus_own_r2"":0.0014907116368310103,""cross_minus_car_r2"":-0.0018065434595515573,""own_hit"":0.4993899649229831,""car_hit"":0.4962635351532713,""cross_hit"":0.5010135661936691,""n"":12826},{""asset"":""XRP"",""own_r2"":-0.009400608519122278,""car_r2"":-0.006774367167001749,""cross_r2"":-0.009411476228240678,""cross_minus_own_r2"":-1.0867709118400626e-05,""cross_minus_car_r2"":-0.002637109061238929,""own_hit"":0.5067866402318133,""car_hit"":0.5089980173859997,""cross_hit"":0.5113051613909246,""n"":12826}]"
300,pca,ccz_short,"1,2,3,5",20,6000,3000,10,real,-0.014975009275798645,-0.014100317149778996,-0.013881957397760936,0.0010930518780377096,0.00021835975201806024,0.5117330586080586,0.5103594322344323,0.5135836385836385,3.020314038789111,3.082913061402034,3.0516135500955732,3.020314038789111,2.957715016176188,0.5140476840831935,0.09557832294514712,1.0,SOL,0.0021359106005791606,"[{""asset"":""BTC"",""own_r2"":-0.013457475625275217,""car_r2"":-0.014714807055050683,""cross_r2"":-0.013626790280911294,""cross_minus_own_r2"":-0.00016931465563607695,""cross_minus_car_r2"":0.0010880167741393887,""own_hit"":0.5113705738705738,""car_hit"":0.5121336996336996,""cross_hit"":0.5129731379731379,""n"":13104},{""asset"":""ETH"",""own_r2"":-0.015116610764422722,""car_r2"":-0.01713621362248019,""cross_r2"":-0.0132664606742523,""cross_minus_own_r2"":0.0018501500901704215,""cross_minus_car_r2"":0.003869752948227889,""own_hit"":0.5179334554334555,""car_hit"":0.5171703296703297,""cross_hit"":0.5228937728937729,""n"":13104},{""asset"":""SOL"",""own_r2"":-0.018017407584159928,""car_r2"":-0.014236582339733461,""cross_r2"":-0.015881496983580767,""cross_minus_own_r2"":0.0021359106005791606,""cross_minus_car_r2"":-0.0016449146438473061,""own_hit"":0.5072496947496947,""car_hit"":0.4993894993894994,""cross_hit"":0.501449938949939,""n"":13104},{""asset"":""XRP"",""own_r2"":-0.013308543129336714,""car_r2"":-0.01031366558185165,""cross_r2"":-0.01275308165229938,""cross_minus_own_r2"":0.0005554614770373334,""cross_minus_car_r2"":-0.002439416070447731,""own_hit"":0.5103785103785103,""car_hit"":0.5127442002442002,""cross_hit"":0.5170177045177046,""n"":13104}]"
300,pca,ccz_short,"1,2,3,5",20,6000,3000,10,placebo,-0.014975009275798645,-0.014100317149778996,-0.015057081106525871,-8.207183072722612e-05,-0.0009567639567468755,0.5117330586080586,0.5103594322344323,0.5087000624219725,0.7789981432214637,0.8206788111201075,0.7998384771707849,0.7789981432214637,0.7373174753228202,0.5083570483786926,0.06507012395385774,1.0,SOL,0.0018904893238320675,"[{""asset"":""BTC"",""own_r2"":-0.013457475625275217,""car_r2"":-0.014714807055050683,""cross_r2"":-0.013245256679661699,""cross_minus_own_r2"":0.00021221894561351817,""cross_minus_car_r2"":0.0014695503753889838,""own_hit"":0.5113705738705738,""car_hit"":0.5121336996336996,""cross_hit"":0.505461922596754,""n"":12816},{""asset"":""ETH"",""own_r2"":-0.015116610764422722,""car_r2"":-0.01713621362248019,""cross_r2"":-0.017157385447778895,""cross_minus_own_r2"":-0.0020407746833561724,""cross_minus_car_r2"":-2.117182529870476e-05,""own_hit"":0.5179334554334555,""car_hit"":0.5171703296703297,""cross_hit"":0.5081148564294632,""n"":12816},{""asset"":""SOL"",""own_r2"":-0.018017407584159928,""car_r2"":-0.014236582339733461,""cross_r2"":-0.01612691826032786,""cross_minus_own_r2"":0.0018904893238320675,""cross_minus_car_r2"":-0.0018903359205943993,""own_hit"":0.5072496947496947,""car_hit"":0.4993894993894994,""cross_hit"":0.5048377028714107,""n"":12816},{""asset"":""XRP"",""own_r2"":-0.013308543129336714,""car_r2"":-0.01031366558185165,""cross_r2"":-0.013698764038335032,""cross_minus_own_r2"":-0.00039022090899831774,""cross_minus_car_r2"":-0.003385098456483382,""own_hit"":0.5103785103785103,""car_hit"":0.5127442002442002,""cross_hit"":0.5163857677902621,""n"":12816}]"
300,pca,ccz_short,"1,2,3,5",2,600,6000,10,real,-0.0016383715989031211,-0.0008237504216900837,-0.0007253520462261465,0.0009130195526769747,9.839837546393726e-05,0.5046433511163801,0.5123493380754791,0.5114601857340446,0.3097134395117265,0.4415487709479884,0.37563110522985743,0.3097134395117265,0.1778781080754646,0.5132236968647816,0.2606213925793454,0.9950578234654542,XRP,0.0013161545394548835,"[{""asset"":""BTC"",""own_r2"":-0.001590859496812147,""car_r2"":-0.0007365937733168071,""cross_r2"":-0.0009540629325175409,""cross_minus_own_r2"":0.0006367965642946061,""cross_minus_car_r2"":-0.00021746915920073384,""own_hit"":0.5120529539616676,""car_hit"":0.517190278601067,""cross_hit"":0.5134360798261213,""n"":10122},{""asset"":""ETH"",""own_r2"":-0.0009904274473024888,""car_r2"":-0.0006716627194287561,""cross_r2"":-0.0005431523631442836,""cross_minus_own_r2"":0.00044727508415820516,""cross_minus_car_r2"":0.0001285103562844725,""own_hit"":0.5132384904169136,""car_hit"":0.5131396957123098,""cross_hit"":0.5123493380754791,""n"":10122},{""asset"":""SOL"",""own_r2"":-0.0016901085306697539,""car_r2"":-0.0008275255629852651,""cross_r2"":-0.00043825650786954995,""cross_minus_own_r2"":0.001251852022800204,""cross_minus_car_r2"":0.0003892690551157152,""own_hit"":0.4909108871764473,""car_hit"":0.5060264769808338,""cross_hit"":0.5066192452084568,""n"":10122},{""asset"":""XRP"",""own_r2"":-0.002282090920828095,""car_r2"":-0.0010592196310295066,""cross_r2"":-0.0009659363813732114,""cross_minus_own_r2"":0.0013161545394548835,""cross_minus_car_r2"":9.32832496562952e-05,""own_hit"":0.502371072910492,""car_hit"":0.5130409010077059,""cross_hit"":0.5134360798261213,""n"":10122}]"
300,pca,ccz_short,"1,2,3,5",2,600,6000,10,placebo,-0.0016383715989031211,-0.0008237504216900837,-0.0008527888760251345,0.0007855827228779866,-2.9038454335050812e-05,0.5046433511163801,0.5123493380754791,0.510600976205003,-0.07512098204065965,0.2234206695506179,0.07414984375497924,-0.07512098204065965,-0.37366263363193725,0.5134875640087784,0.6074710582791282,0.9990843422525181,SOL,0.0014624136777150465,"[{""asset"":""BTC"",""own_r2"":-0.001590859496812147,""car_r2"":-0.0007365937733168071,""cross_r2"":-0.0010799983592753026,""cross_minus_own_r2"":0.0005108611375368444,""cross_minus_car_r2"":-0.00034340458595849555,""own_hit"":0.5120529539616676,""car_hit"":0.517190278601067,""cross_hit"":0.5137278828553996,""n"":9834},{""asset"":""ETH"",""own_r2"":-0.0009904274473024888,""car_r2"":-0.0006716627194287561,""cross_r2"":-0.0009211694462012421,""cross_minus_own_r2"":6.925800110124669e-05,""cross_minus_car_r2"":-0.000249506726772486,""own_hit"":0.5132384904169136,""car_hit"":0.5131396957123098,""cross_hit"":0.5154565792149685,""n"":9834},{""asset"":""SOL"",""own_r2"":-0.0016901085306697539,""car_r2"":-0.0008275255629852651,""cross_r2"":-0.00022769485295470737,""cross_minus_own_r2"":0.0014624136777150465,""cross_minus_car_r2"":0.0005998307100305578,""own_hit"":0.4909108871764473,""car_hit"":0.5060264769808338,""cross_hit"":0.5038641448037421,""n"":9834},{""asset"":""XRP"",""own_r2"":-0.002282090920828095,""car_r2"":-0.0010592196310295066,""cross_r2"":-0.001182292845669286,""cross_minus_own_r2"":0.0010997980751588088,""cross_minus_car_r2"":-0.0001230732146397795,""own_hit"":0.502371072910492,""car_hit"":0.5130409010077059,""cross_hit"":0.509355297945902,""n"":9834}]"
