bar_s,scheme,lagset,horizon,horizon_seconds,train,levels,kind,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,pnl_net,pnl_gross,pnl_net_0p25bp,pnl_net_0p5bp,pnl_net_1p0bp,pnl_hit,turnover,frac_traded,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json
300,best,ccz,1,300,3000,10,real,-0.004063776102322114,-0.0018371359641154439,-0.0008968418576192905,0.0031669342447028237,0.0009402941064961534,0.4917926400977249,0.4971751412429379,0.49333867766071154,0.06346199796545013,0.2583748846151325,0.16091844129029137,0.06346199796545013,-0.13145088868423221,0.5045994181932542,0.29773602176687136,0.9676926602001069,XRP,0.005269046421130019,"[{""asset"":""BTC"",""own_r2"":-0.0031317787085209936,""car_r2"":-0.0017698919594371088,""cross_r2"":-0.0012464989509133328,""cross_minus_own_r2"":0.0018852797576076608,""cross_minus_car_r2"":0.0005233930085237759,""own_hit"":0.4932050694762559,""car_hit"":0.5100778744846541,""cross_hit"":0.5047335471064285,""n"":13098},{""asset"":""ETH"",""own_r2"":-0.003506802030293743,""car_r2"":-0.0020510862872875624,""cross_r2"":-0.0007866219250425299,""cross_minus_own_r2"":0.002720180105251213,""cross_minus_car_r2"":0.0012644643622450324,""own_hit"":0.5028248587570622,""car_hit"":0.5083218812032372,""cross_hit"":0.5027485112230875,""n"":13098},{""asset"":""SOL"",""own_r2"":-0.0035589962774640327,""car_r2"":-0.0017353879749324452,""cross_r2"":-0.000765765582641631,""cross_minus_own_r2"":0.0027932306948224017,""cross_minus_car_r2"":0.0009696223922908143,""own_hit"":0.47869903802107194,""car_hit"":0.4795388608947931,""cross_hit"":0.4783936478851733,""n"":13098},{""asset"":""XRP"",""own_r2"":-0.006057527393009687,""car_r2"":-0.0017921776348046592,""cross_r2"":-0.0007884809718796681,""cross_minus_own_r2"":0.005269046421130019,""cross_minus_car_r2"":0.001003696662924991,""own_hit"":0.4924415941365094,""car_hit"":0.49076194838906706,""cross_hit"":0.48747900442815695,""n"":13098}]"
300,best,ccz,1,300,3000,10,placebo,-0.004063776102322114,-0.0018371359641154439,-0.001211244492159702,0.002852531610162412,0.0006258914719557418,0.4917926400977249,0.4971751412429379,0.4944379391100703,-0.1640419905112156,0.1906172013622881,0.013287605425536267,-0.1640419905112156,-0.5187011823847195,0.5002737154922968,0.5539386050347578,0.9931276844982428,XRP,0.004961982421566313,"[{""asset"":""BTC"",""own_r2"":-0.0031317787085209936,""car_r2"":-0.0017698919594371088,""cross_r2"":-0.0012368032278411434,""cross_minus_own_r2"":0.0018949754806798502,""cross_minus_car_r2"":0.0005330887315959654,""own_hit"":0.4932050694762559,""car_hit"":0.5100778744846541,""cross_hit"":0.5010148321623732,""n"":12810},{""asset"":""ETH"",""own_r2"":-0.003506802030293743,""car_r2"":-0.0020510862872875624,""cross_r2"":-0.0017600861045816707,""cross_minus_own_r2"":0.0017467159257120723,""cross_minus_car_r2"":0.0002910001827058917,""own_hit"":0.5028248587570622,""car_hit"":0.5083218812032372,""cross_hit"":0.501951600312256,""n"":12810},{""asset"":""SOL"",""own_r2"":-0.0035589962774640327,""car_r2"":-0.0017353879749324452,""cross_r2"":-0.0007525436647726202,""cross_minus_own_r2"":0.0028064526126914124,""cross_minus_car_r2"":0.000982844310159825,""own_hit"":0.47869903802107194,""car_hit"":0.4795388608947931,""cross_hit"":0.4823575331772053,""n"":12810},{""asset"":""XRP"",""own_r2"":-0.006057527393009687,""car_r2"":-0.0017921776348046592,""cross_r2"":-0.001095544971443374,""cross_minus_own_r2"":0.004961982421566313,""cross_minus_car_r2"":0.0006966326633612852,""own_hit"":0.4924415941365094,""car_hit"":0.49076194838906706,""cross_hit"":0.4924277907884465,""n"":12810}]"
300,best,ccz,1,300,3000,10,real_minus_placebo,,,,0.0003144026345404116,0.0003144026345404116,,,-0.001099261449358735,0.22750398847666572,,,,,,,,,,
300,best,ccz,2,600,3000,10,real,-0.005930937288024241,-0.004250293037467268,-0.001597357811600253,0.004333579476423988,0.0026529352258670147,0.5050774986638161,0.5110712376880202,0.5077307780407727,0.37417814620273426,0.5294259378466981,0.4518020420247162,0.37417814620273426,0.2189303545587703,0.5097094919993785,0.23716436242585376,0.9957225786739994,XRP,0.006271718781579727,"[{""asset"":""BTC"",""own_r2"":-0.005684446395775256,""car_r2"":-0.003857884987524818,""cross_r2"":-0.002130327047640934,""cross_minus_own_r2"":0.0035541193481343214,""cross_minus_car_r2"":0.0017275579398838836,""own_hit"":0.506222799114301,""car_hit"":0.5198136977933878,""cross_hit"":0.5155379094449111,""n"":13097},{""asset"":""ETH"",""own_r2"":-0.0056221591273057925,""car_r2"":-0.004794682706012798,""cross_r2"":-0.0016792460179408941,""cross_minus_own_r2"":0.003942913109364898,""cross_minus_car_r2"":0.003115436688071904,""own_hit"":0.5023287775826525,""car_hit"":0.5112621210964343,""cross_hit"":0.508437046651905,""n"":13097},{""asset"":""SOL"",""own_r2"":-0.004616052630908696,""car_r2"":-0.004211733341942692,""cross_r2"":-0.001050485964291692,""cross_minus_own_r2"":0.003565566666617004,""cross_minus_car_r2"":0.0031612473776509997,""own_hit"":0.5030159578529434,""car_hit"":0.5050011453004505,""cross_hit"":0.5020997174925556,""n"":13097},{""asset"":""XRP"",""own_r2"":-0.0078010909981072185,""car_r2"":-0.004136871114388763,""cross_r2"":-0.0015293722165274914,""cross_minus_own_r2"":0.006271718781579727,""cross_minus_car_r2"":0.002607498897861271,""own_hit"":0.5087424601053676,""car_hit"":0.5082079865618081,""cross_hit"":0.5048484385737192,""n"":13097}]"
300,best,ccz,2,600,3000,10,placebo,-0.005930937288024241,-0.004250293037467268,-0.0024647200877322972,0.0034662172002919434,0.0017855729497349704,0.5050774986638161,0.5110712376880202,0.5079436333827777,0.12918949258419704,0.3987267357086992,0.26395811414644815,0.12918949258419704,-0.1403477505403049,0.5078419071518193,0.42102037351531085,0.9732114964073727,XRP,0.005519348703642457,"[{""asset"":""BTC"",""own_r2"":-0.005684446395775256,""car_r2"":-0.003857884987524818,""cross_r2"":-0.0029055688618453424,""cross_minus_own_r2"":0.002778877533929913,""cross_minus_car_r2"":0.0009523161256794754,""own_hit"":0.506222799114301,""car_hit"":0.5198136977933878,""cross_hit"":0.5080021859629947,""n"":12809},{""asset"":""ETH"",""own_r2"":-0.0056221591273057925,""car_r2"":-0.004794682706012798,""cross_r2"":-0.0030135188611013497,""cross_minus_own_r2"":0.0026086402662044428,""cross_minus_car_r2"":0.0017811638449114486,""own_hit"":0.5023287775826525,""car_hit"":0.5112621210964343,""cross_hit"":0.5122960418455773,""n"":12809},{""asset"":""SOL"",""own_r2"":-0.004616052630908696,""car_r2"":-0.004211733341942692,""cross_r2"":-0.0016580503335177355,""cross_minus_own_r2"":0.0029580022973909603,""cross_minus_car_r2"":0.002553683008424956,""own_hit"":0.5030159578529434,""car_hit"":0.5050011453004505,""cross_hit"":0.5043328909360606,""n"":12809},{""asset"":""XRP"",""own_r2"":-0.0078010909981072185,""car_r2"":-0.004136871114388763,""cross_r2"":-0.0022817422944647614,""cross_minus_own_r2"":0.005519348703642457,""cross_minus_car_r2"":0.0018551288199240012,""own_hit"":0.5087424601053676,""car_hit"":0.5082079865618081,""cross_hit"":0.5071434147864783,""n"":12809}]"
300,best,ccz,2,600,3000,10,real_minus_placebo,,,,0.0008673622761320443,0.0008673622761320443,,,-0.00021285534200499168,0.24498865361853722,,,,,,,,,,
300,best,ccz,3,900,3000,10,real,-0.007759257158382105,-0.006487733058410938,-0.002412544599929234,0.005346712558452871,0.004075188458481704,0.5020807880268785,0.5071204948075748,0.5087813072693953,0.5139236179277219,0.6313076304571827,0.5726156241924523,0.5139236179277219,0.39653960539826094,0.5094389578755064,0.17933544042389565,0.9748682300817355,XRP,0.0076626140878095494,"[{""asset"":""BTC"",""own_r2"":-0.00776273907652536,""car_r2"":-0.006741753156213948,""cross_r2"":-0.0030611214453561963,""cross_minus_own_r2"":0.004701617631169164,""cross_minus_car_r2"":0.0036806317108577513,""own_hit"":0.5014508246792914,""car_hit"":0.5120647525962125,""cross_hit"":0.5126756261453879,""n"":13096},{""asset"":""ETH"",""own_r2"":-0.007598479935672531,""car_r2"":-0.007290275226167875,""cross_r2"":-0.002596814448302398,""cross_minus_own_r2"":0.005001665487370133,""cross_minus_car_r2"":0.004693460777865477,""own_hit"":0.5029780085522297,""car_hit"":0.5061850946854001,""cross_hit"":0.5113775198533903,""n"":13096},{""asset"":""SOL"",""own_r2"":-0.006061744298760274,""car_r2"":-0.005322856053272318,""cross_r2"":-0.0020407912712976373,""cross_minus_own_r2"":0.004020953027462637,""cross_minus_car_r2"":0.0032820647819746807,""own_hit"":0.50099266951741,""car_hit"":0.5033598045204642,""cross_hit"":0.5012981062919976,""n"":13096},{""asset"":""XRP"",""own_r2"":-0.009614065322570253,""car_r2"":-0.006596047797989613,""cross_r2"":-0.0019514512347607038,""cross_minus_own_r2"":0.0076626140878095494,""cross_minus_car_r2"":0.004644596563228909,""own_hit"":0.5029016493585827,""car_hit"":0.5068723274282224,""cross_hit"":0.5097739767868051,""n"":13096}]"
300,best,ccz,3,900,3000,10,placebo,-0.007759257158382105,-0.006487733058410938,-0.003940423469095233,0.0038188336892868713,0.002547309589315705,0.5020807880268785,0.5071204948075748,0.506382729544035,-0.05254993714338996,0.08939544141117917,0.018422752133894493,-0.05254993714338996,-0.19449531569795897,0.5048632137402534,0.22173768422177462,0.9999218933062564,XRP,0.006208575324765597,"[{""asset"":""BTC"",""own_r2"":-0.00776273907652536,""car_r2"":-0.006741753156213948,""cross_r2"":-0.004864933037719066,""cross_minus_own_r2"":0.0028978060388062943,""cross_minus_car_r2"":0.0018768201184948818,""own_hit"":0.5014508246792914,""car_hit"":0.5120647525962125,""cross_hit"":0.5042941911305434,""n"":12808},{""asset"":""ETH"",""own_r2"":-0.007598479935672531,""car_r2"":-0.007290275226167875,""cross_r2"":-0.004255194205555979,""cross_minus_own_r2"":0.003343285730116552,""cross_minus_car_r2"":0.003035081020611896,""own_hit"":0.5029780085522297,""car_hit"":0.5061850946854001,""cross_hit"":0.5086664584634604,""n"":12808},{""asset"":""SOL"",""own_r2"":-0.006061744298760274,""car_r2"":-0.005322856053272318,""cross_r2"":-0.0032360766353012327,""cross_minus_own_r2"":0.0028256676634590416,""cross_minus_car_r2"":0.0020867794179710852,""own_hit"":0.50099266951741,""car_hit"":0.5033598045204642,""cross_hit"":0.5042161149281699,""n"":12808},{""asset"":""XRP"",""own_r2"":-0.009614065322570253,""car_r2"":-0.006596047797989613,""cross_r2"":-0.003405489997804656,""cross_minus_own_r2"":0.006208575324765597,""cross_minus_car_r2"":0.0031905578001849566,""own_hit"":0.5029016493585827,""car_hit"":0.5068723274282224,""cross_hit"":0.5083541536539663,""n"":12808}]"
300,best,ccz,3,900,3000,10,real_minus_placebo,,,,0.0015278788691659995,0.0015278788691659995,,,0.00239857772536034,0.5664735550711119,,,,,,,,,,
300,best,ccz,5,1500,3000,10,real,-0.010561603371234962,-0.008542347243880755,-0.004885495789247962,0.005676107581987,0.0036568514546327924,0.5015656025660609,0.5041049335573545,0.507083396975714,0.40206597959878376,0.48394011746166266,0.4430030485302232,0.40206597959878376,0.32019184173590554,0.5075151902782219,0.12510373269597164,0.9998471999388799,XRP,0.008332837458270737,"[{""asset"":""BTC"",""own_r2"":-0.009638808340586058,""car_r2"":-0.008141900083744824,""cross_r2"":-0.005388334594672584,""cross_minus_own_r2"":0.0042504737459134745,""cross_minus_car_r2"":0.0027535654890722405,""own_hit"":0.4939667023063999,""car_hit"":0.5012219337100963,""cross_hit"":0.5127539330991294,""n"":13094},{""asset"":""ETH"",""own_r2"":-0.011057553593218472,""car_r2"":-0.01052814267385993,""cross_r2"":-0.004896617992777852,""cross_minus_own_r2"":0.00616093560044062,""cross_minus_car_r2"":0.0056315246810820785,""own_hit"":0.5051168474110279,""car_hit"":0.5063387811211242,""cross_hit"":0.5114556285321521,""n"":13094},{""asset"":""SOL"",""own_r2"":-0.008560800555762027,""car_r2"":-0.007468004835688102,""cross_r2"":-0.0046006170324388584,""cross_minus_own_r2"":0.003960183523323169,""cross_minus_car_r2"":0.002867387803249244,""own_hit"":0.5031312051321216,""car_hit"":0.5021383839926684,""cross_hit"":0.49694516572475944,""n"":13094},{""asset"":""XRP"",""own_r2"":-0.012989250995373292,""car_r2"":-0.008031341382230162,""cross_r2"":-0.004656413537102555,""cross_minus_own_r2"":0.008332837458270737,""cross_minus_car_r2"":0.0033749278451276066,""own_hit"":0.5040476554146938,""car_hit"":0.5067206354055293,""cross_hit"":0.5071788605468154,""n"":13094}]"
