key,bar_s,scheme,lagset,horizon,horizon_seconds,pnl_net,asset,ar_r2,car_r2,own_r2,cross_r2,cross_minus_own_r2,ar_hit,car_hit,own_hit,cross_hit
grid|L10|R80|bar300|distance|ccz|h30,300,distance,ccz,30,9000,3.4754135314904326,SOL,-0.02879622907123136,-0.026189497488420255,-0.035856479516738426,-0.022326909733404898,0.013529569783333528,0.501645114392838,0.5094498431402555,0.5115923176983702,0.5023337669293748
grid|L10|R80|bar300|pca|ccz|h20,300,pca,ccz,20,6000,4.323489684814419,SOL,-0.022421316654032353,-0.01706004961424923,-0.02723167208950894,-0.013774663596859416,0.013457008492649525,0.5001146876672529,0.5096719932716569,0.5105894946096796,0.5040140683538497
grid|L10|R80|bar300|pca|ccz|h30,300,pca,ccz,30,9000,3.605014593815244,SOL,-0.02879622907123136,-0.026189497488420255,-0.03610968273198223,-0.022834253652510128,0.0132754290794721,0.501645114392838,0.5094498431402555,0.5137347922564848,0.5026398347233912
grid|L10|R80|bar300|best|ccz|h20,300,best,ccz,20,6000,1.859259922293656,XRP,-0.024198337609038223,-0.01113034696514048,-0.027432610685046654,-0.014717950835129834,0.01271465984991682,0.5053903203608838,0.5134949155134184,0.5024084410123099,0.5104365777200092
grid|L10|R80|bar300|distance|ccz|h20,300,distance,ccz,20,6000,3.129928646568072,SOL,-0.022421316654032353,-0.01706004961424923,-0.027155384281644546,-0.014806532974831699,0.012348851306812847,0.5001146876672529,0.5096719932716569,0.5098249101613274,0.4985855187705482
grid|L10|R80|bar300|sum|ccz|h20,300,sum,ccz,20,6000,4.847891727831352,XRP,-0.024198337609038223,-0.01113034696514048,-0.02580203292692973,-0.013697358298822904,0.012104674628106826,0.5053903203608838,0.5134949155134184,0.5028671916813212,0.5190763819863904
grid|L10|R80|bar300|distance|ccz|h20,300,distance,ccz,20,6000,3.129928646568072,XRP,-0.024198337609038223,-0.01113034696514048,-0.02628706232717737,-0.014598218390825979,0.01168884393635139,0.5053903203608838,0.5134949155134184,0.5060019879195657,0.510360119275174
grid|L10|R80|bar300|pca|ccz|h20,300,pca,ccz,20,6000,4.323489684814419,XRP,-0.024198337609038223,-0.01113034696514048,-0.02587284072876095,-0.014253061323502347,0.011619779405258601,0.5053903203608838,0.5134949155134184,0.5027142747916508,0.5266457680250783
grid|L10|R80|bar300|sum|ccz|h30,300,sum,ccz,30,9000,5.010976214048696,XRP,-0.02919922619121329,-0.01572432513345312,-0.03248201366637571,-0.02087273083500496,0.011609282831370749,0.5085316397582065,0.5076134363761573,0.5166424362996404,0.5267426735021807
grid|L10|R80|bar300|sum|ccz|h20,300,sum,ccz,20,6000,4.847891727831352,ETH,-0.01880391741663967,-0.013758691466437156,-0.024558900657430494,-0.013440499124553806,0.011118401532876687,0.5271045186940898,0.5235109717868338,0.5184647144277086,0.524887223793868
grid|L10|R80|bar300|best|ccz|h10,300,best,ccz,10,3000,0.3932543326700928,XRP,-0.020766961028749753,-0.012653223475228348,-0.02182774300364887,-0.010783097259939867,0.011044645743709003,0.4943081977232791,0.5043166017266407,0.5005730002292,0.5019482007792803
grid|L10|R80|bar300|best|ccz|h30,300,best,ccz,30,9000,1.5601359354628643,SOL,-0.02879622907123136,-0.026189497488420255,-0.03200464999019048,-0.021054778384443695,0.010949871605746786,0.501645114392838,0.5094498431402555,0.5078429872216697,0.4982783686586579
