spec,bar_s,scheme,lagset,horizon,levels,refit_cap,key,ar_r2,ar_hit,car_r2,car_hit,own_r2,own_hit,cross_r2,cross_hit,cross_minus_own_r2,cross_minus_ar_r2,cross_minus_car_r2,pnl_gross,pnl_net,pnl_hit,turnover,n_bars,step,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json,pnl_net_0p0bp,pnl_net_0p25bp,pnl_net_0p5bp,pnl_net_1p0bp,status,secs
paper,60,pca,paperlags,1,10,80,paper|L10|R80|bar60|pca|paperlags|h1,-0.0043832507601034,0.4790974101275609,-0.0017460900174838,0.4785981187991238,-0.0027162576548805,0.4769327406262079,-0.0006509508380104,0.475502512562814,0.0020653068168701,0.003732299922093,0.0010951391794734,0.3520207060364805,-0.2559490913194449,0.4911965390549202,0.1566831511773534,80640,1008,XRP,0.0026461989907409,"[{""asset"":""BTC"",""ar_r2"":-0.0040705971597669866,""car_r2"":-0.0004986581407362412,""own_r2"":-0.0024176823489672206,""cross_r2"":-0.00022051832754077516,""cross_minus_own_r2"":0.0021971640214264454,""ar_hit"":0.49260404587037754,""car_hit"":0.4909547738693467,""own_hit"":0.48848086586780054,""cross_hit"":0.48839067130524416},{""asset"":""ETH"",""ar_r2"":-0.004740433656920562,""car_r2"":-0.0033792337681790574,""own_r2"":-0.0025703956720461996,""cross_r2"":-0.000280731627330999,""cross_minus_own_r2"":0.0022896640447152006,""ar_hit"":0.49739724262337326,""car_hit"":0.4964051024352532,""own_hit"":0.4969591547480995,""cross_hit"":0.49172787011982994},{""asset"":""SOL"",""ar_r2"":-0.004434784926323765,""car_r2"":-0.0021109051754721886,""own_r2"":-0.002845106765474892,""cross_r2"":-0.0017169065548769957,""cross_minus_own_r2"":0.001128200210597896,""ar_hit"":0.4574539363484087,""car_hit"":0.45892281922432676,""own_hit"":0.4576987501610617,""cross_hit"":0.4573637417858523},{""asset"":""XRP"",""ar_r2"":-0.004287187297402406,""car_r2"":-0.0009955629855478154,""own_r2"":-0.0030318458330338416,""cross_r2"":-0.00038564684229291935,""cross_minus_own_r2"":0.0026461989907409222,""ar_hit"":0.468934415668084,""car_hit"":0.4681097796675686,""own_hit"":0.46459219172787014,""cross_hit"":0.46452776704032983}]",0.3520207060364805,0.0480358073585178,-0.2559490913194449,-0.8639188886753704,ok,12.5
paper,60,pca,paperlags,2,10,80,paper|L10|R80|bar60|pca|paperlags|h2,-0.0062626385037289,0.502602790913425,-0.0022031431729272,0.5020132974268448,-0.0040296527282145,0.499864706412916,-0.0039526180012427,0.4995425788246208,7.703472697179192e-05,0.0023100205024862,-0.0017494748283155,1.0601629237181451,-0.344006089892566,0.5033612330418054,0.3618805766740661,80640,1008,ETH,0.0035158282989529,"[{""asset"":""BTC"",""ar_r2"":-0.006215657530876495,""car_r2"":-0.0010988092302173236,""own_r2"":-0.003887391790716732,""cross_r2"":-0.0035365049478126576,""cross_minus_own_r2"":0.00035088684290407457,""ar_hit"":0.5024932675334046,""car_hit"":0.5033436843665039,""own_hit"":0.5011789869731603,""cross_hit"":0.5022742207733639},{""asset"":""ETH"",""ar_r2"":-0.007003064153483063,""car_r2"":-0.0034734752429834703,""own_r2"":-0.004266886617554144,""cross_r2"":-0.0007510583186012276,""cross_minus_own_r2"":0.0035158282989529166,""ar_hit"":0.5063201432823513,""car_hit"":0.5049156669973843,""own_hit"":0.5031761780205904,""cross_hit"":0.5017201613214962},{""asset"":""SOL"",""ar_r2"":-0.00543578520103094,""car_r2"":-0.002675719078358396,""own_r2"":-0.003517059276858525,""cross_r2"":-0.004832849041539911,""cross_minus_own_r2"":-0.0013157897646813854,""ar_hit"":0.4973778814312773,""car_hit"":0.49784174515842233,""own_hit"":0.49748096225953176,""cross_hit"":0.4955739669368243},{""asset"":""XRP"",""ar_r2"":-0.006396047129525462,""car_r2"":-0.0015645691401497963,""own_r2"":-0.004447273227728754,""cross_r2"":-0.006690059697017192,""cross_minus_own_r2"":-0.002242786469288438,""ar_hit"":0.5042198714066668,""car_hit"":0.5019520931850687,""own_hit"":0.49762269839838164,""cross_hit"":0.498601966266799}]",1.0601629237181451,0.3580784169127895,-0.344006089892566,-1.748175103503277,ok,13.6
paper,60,pca,paperlags,3,10,80,paper|L10|R80|bar60|pca|paperlags|h3,-0.006801171275884,0.5068163075971549,-0.0020264352107235,0.5057919286671477,-0.0055123795863101,0.5021164055252035,-0.008090737713667,0.5019456757035358,-0.0025783581273569,-0.0012895664377829,-0.0060643025029434,0.9949680175653726,-1.5060498083587808,0.5042506341109904,0.644567304337243,80640,1008,BTC,-0.0008251469687547,"[{""asset"":""BTC"",""ar_r2"":-0.0071297497680773425,""car_r2"":-0.0005425270386290038,""own_r2"":-0.0052549823817644725,""cross_r2"":-0.00608012935051927,""cross_minus_own_r2"":-0.0008251469687547974,""ar_hit"":0.5050767962065766,""car_hit"":0.5052958457890939,""own_hit"":0.5009277394083084,""cross_hit"":0.5029120709205237},{""asset"":""ETH"",""ar_r2"":-0.007493566467785762,""car_r2"":-0.00333437552141036,""own_r2"":-0.0057034013141765705,""cross_r2"":-0.007630280454998806,""cross_minus_own_r2"":-0.0019268791408222352,""ar_hit"":0.5092387382744047,""car_hit"":0.5058370271106072,""own_hit"":0.5033372848159984,""cross_hit"":0.505051025667457},{""asset"":""SOL"",""ar_r2"":-0.005623481686390042,""car_r2"":-0.002636620003587886,""own_r2"":-0.004625622725018541,""cross_r2"":-0.008081480985644207,""cross_minus_own_r2"":-0.003455858260625666,""ar_hit"":0.5046000412328626,""car_hit"":0.5058370271106072,""own_hit"":0.5030795794248015,""cross_hit"":0.5011339037212659},{""asset"":""XRP"",""ar_r2"":-0.0069578871812829846,""car_r2"":-0.0015922182792671435,""own_r2"":-0.006465511924280909,""cross_r2"":-0.010571060063505833,""cross_minus_own_r2"":-0.004105548139224924,""ar_hit"":0.5083496546747758,""car_hit"":0.5061978146582826,""own_hit"":0.501121018451706,""cross_hit"":0.4986857025048964}]",0.9949680175653726,-0.2555408953967041,-1.5060498083587808,-4.007067634282935,ok,12.6
paper,60,pca,paperlags,5,10,80,paper|L10|R80|bar60|pca|paperlags|h5,-0.0081551034951252,0.507331907326753,-0.0029111910922108,0.5071708373063938,-0.0079722606978134,0.5026544339355205,-0.0111687539542839,0.5030377805839754,-0.0031964932564705,-0.0030136504591587,-0.0082575628620731,0.9788870201609272,-0.9240384658579546,0.5030105598360206,0.4904383928090827,80640,1008,XRP,0.0051727841696753,"[{""asset"":""BTC"",""ar_r2"":-0.009293197675907416,""car_r2"":-0.001912825110015337,""own_r2"":-0.00748302613555496,""cross_r2"":-0.013821867098061213,""cross_minus_own_r2"":-0.006338840962506254,""ar_hit"":0.5058758343427054,""car_hit"":0.5078602169935315,""own_hit"":0.5050124990335799,""cross_hit"":0.5036981676674483},{""asset"":""ETH"",""ar_r2"":-0.008631106003687439,""car_r2"":-0.0040677957755035354,""own_r2"":-0.007857934896239316,""cross_r2"":-0.010183560208175901,""cross_minus_own_r2"":-0.0023256253119365855,""ar_hit"":0.5082983274489086,""car_hit"":0.5072288225137231,""own_hit"":0.5030023451794964,""cross_hit"":0.5040589645130531},{""asset"":""SOL"",""ar_r2"":-0.006508655784776218,""car_r2"":-0.0033878242423415195,""own_r2"":-0.007196605414112156,""cross_r2"":-0.016490896335226823,""cross_minus_own_r2"":-0.009294290921114667,""ar_hit"":0.505051155838466,""car_hit"":0.5067005128469448,""own_hit"":0.5024998067159756,""cross_hit"":0.5016107002035926},{""asset"":""XRP"",""ar_r2"":-0.008187454516129788,""car_r2"":-0.002276319240982927,""own_r2"":-0.009351476345347276,""cross_r2"":-0.004178692175671905,""cross_minus_own_r2"":0.005172784169675371,""ar_hit"":0.5101023116769322,""car_hit"":0.5068937968713759,""own_hit"":0.5001030848130299,""cross_hit"":0.5027832899518079}]",0.9788870201609272,0.0274242771514864,-0.9240384658579546,-2.826963951876836,ok,18.8
paper,60,pca,paperlags,10,10,80,paper|L10|R80|bar60|pca|paperlags|h10,-0.0108262058022142,0.5076223244545819,-0.0063229981701685,0.5076416541023956,-0.0121713553818944,0.504861406425175,-0.0166243876945473,0.5039625778018324,-0.0044530323126529,-0.0057981818923331,-0.0103013895243788,1.5969768070069157,0.2723390887413991,0.504887321657121,0.3414190727010454,80640,1008,XRP,-0.0009480155448227,"[{""asset"":""BTC"",""ar_r2"":-0.01335335438258256,""car_r2"":-0.006061450255992362,""own_r2"":-0.010510940270239466,""cross_r2"":-0.012350463135338163,""cross_minus_own_r2"":-0.0018395228650986972,""ar_hit"":0.507390368680816,""car_hit"":0.5097614721459774,""own_hit"":0.5076094380227059,""cross_hit"":0.507802734500844},{""asset"":""ETH"",""ar_r2"":-0.010605994336083446,""car_r2"":-0.006519898694911319,""own_r2"":-0.012523328665789535,""cross_r2"":-0.014214533417567399,""cross_minus_own_r2"":-0.0016912047517778639,""ar_hit"":0.5068749114057809,""car_hit"":0.5063981134263734,""own_hit"":0.5049806059200268,""cross_hit"":0.5038465999149495},{""asset"":""SOL"",""ar_r2"":-0.008721204349474876,""car_r2"":-0.007385159463756175,""own_r2"":-0.011012393806685283,""cross_r2"":-0.02434577989559772,""cross_minus_own_r2"":-0.013333386088912436,""ar_hit"":0.5067975928145256,""car_hit"":0.5083181917758792,""own_hit"":0.5076738701820853,""cross_hit"":0.5042976250306053},{""asset"":""XRP"",""ar_r2"":-0.010624270140716208,""car_r2"":-0.005325484266014202,""own_r2"":-0.014638758784863537,""cross_r2"":-0.015586774329686248,""cross_minus_own_r2"":-0.0009480155448227112,""ar_hit"":0.5094264249172047,""car_hit"":0.5060888390613523,""own_hit"":0.49918171157588176,""cross_hit"":0.4999033517609309}]",1.5969768070069157,0.934657947874158,0.2723390887413991,-1.0522986295241163,ok,19.7
grid,5,best,single,1,10,80,grid|L10|R80|bar5|best|single|h1,-0.0009014419995928,0.2927056564929888,0.0017382779524358,0.3070498062049656,0.0046384446450157,0.3201875960811834,0.0056870259897214,0.3231447973885614,0.0010485813447056,0.0065884679893142,0.0039487480372856,12.026330002623322,-43.48615544208998,0.3717646572121371,1.1509066367438805,967680,12096,SOL,0.0026561929969787,"[{""asset"":""BTC"",""ar_r2"":-0.0008461514160407191,""car_r2"":0.003186638855857238,""own_r2"":0.007768962403657764,""cross_r2"":0.008960139348879181,""cross_minus_own_r2"":0.0011911769452214171,""ar_hit"":0.29709468123593447,""car_hit"":0.3160667952759415,""own_hit"":0.32958009866494453,""cross_hit"":0.3324940213273016},{""asset"":""ETH"",""ar_r2"":-0.0010504003748079693,""car_r2"":0.0005210578193528548,""own_r2"":0.0033451862256629328,""cross_r2"":0.002670920415481781,""cross_minus_own_r2"":-0.0006742658101811516,""ar_hit"":0.337511234306956,""car_hit"":0.34919076708418034,""own_hit"":0.366877479451714,""cross_hit"":0.36636746523973257},{""asset"":""SOL"",""ar_r2"":-0.0007969931464464342,""car_r2"":0.0025087859540117163,""own_r2"":0.0025457722359346624,""cross_r2"":0.005201965232913386,""cross_minus_own_r2"":0.0026561929969787235,""ar_hit"":0.2604825024697335,""car_hit"":0.2763458103680084,""own_hit"":0.2831014254482579,""cross_hit"":0.2891739117364429},{""asset"":""XRP"",""ar_r2"":-0.0009122230610760784,""car_r2"":0.0007366291805215308,""own_r2"":0.00489385771480777,""cross_r2"":0.005915078961611475,""cross_minus_own_r2"":0.0010212212468037052,""ar_hit"":0.27573420795933157,""car_hit"":0.28659585209173205,""own_hit"":0.3011913807598175,""cross_hit"":0.3045437912507684}]",12.026330002623322,-15.729912719733331,-43.48615544208998,-98.99864088680329,ok,158.6
grid,5,best,single,2,10,80,grid|L10|R80|bar5|best|single|h2,-0.0013013699735532,0.3774699951693726,-4.737965889872742e-06,0.3917579233692486,0.0022746995012943,0.4021409216339545,0.0027519195724776,0.4054617188326053,0.0004772200711832,0.0040532895460308,0.0027566575383675,13.380528783444998,-39.36359897696706,0.4374100366396231,1.093513092216991,967680,12096,SOL,0.0013130461932394,"[{""asset"":""BTC"",""ar_r2"":-0.0018709834302632622,""car_r2"":-0.00025792103510724473,""own_r2"":0.004277291151810303,""cross_r2"":0.004605516484192385,""cross_minus_own_r2"":0.0003282253323820816,""ar_hit"":0.3744088701100263,""car_hit"":0.39471098128080045,""own_hit"":0.40622777755893674,""cross_hit"":0.4097170247481543},{""asset"":""ETH"",""ar_r2"":-0.0011368609537225627,""car_r2"":-0.0005191734331582154,""own_r2"":0.0013543162259711528,""cross_r2"":0.0012376866390226837,""cross_minus_own_r2"":-0.00011662958694846903,""ar_hit"":0.4112035311264484,""car_hit"":0.420608741984372,""own_hit"":0.4357339962142808,""cross_hit"":0.43605845681149563},{""asset"":""SOL"",""ar_r2"":-0.0008704717353136271,""car_r2"":0.0013411034061273641,""own_r2"":0.0009989483130715682,""cross_r2"":0.0023119945063110325,""cross_minus_own_r2"":0.0013130461932394644,""ar_hit"":0.357335815681502,""car_hit"":0.3717478785667342,""own_hit"":0.37670289982771454,""cross_hit"":0.3830884502393545},{""asset"":""XRP"",""ar_r2"":-0.0013271637749134868,""car_r2"":-0.000582960801421395,""own_r2"":0.0024682423143245202,""cross_r2"":0.00285248066038446,""cross_minus_own_r2"":0.00038423834605993967,""ar_hit"":0.36693176375951353,""car_hit"":0.37996409164508776,""own_hit"":0.38989901293488605,""cross_hit"":0.3929829435314167}]",13.380528783444998,-12.991535096761034,-39.36359897696706,-92.10772673737912,ok,164.7
grid,5,best,single,3,10,80,grid|L10|R80|bar5|best|single|h3,-0.0019696780106464,0.4180357777784688,-0.0012183201057275,0.4295168227292658,0.000955654282153,0.4390026402619737,0.0013416325095993,0.4422477679057342,0.0003859782274462,0.0033113105202458,0.0025599526153268,13.466002559543504,-35.89267577143229,0.4655002104431331,1.023325613907645,967680,12096,SOL,0.0010531133405423,"[{""asset"":""BTC"",""ar_r2"":-0.002276641744705099,""car_r2"":-0.0010430427095216022,""own_r2"":0.002474041883421374,""cross_r2"":0.002879883196253319,""cross_minus_own_r2"":0.0004058413128319449,""ar_hit"":0.41378824207480847,""car_hit"":0.4319673839015546,""own_hit"":0.4412834554985762,""cross_hit"":0.444971736653823},{""asset"":""ETH"",""ar_r2"":-0.0019162238129273312,""car_r2"":-0.0016750325265664223,""own_r2"":0.00017751740049554154,""cross_r2"":8.715297577399639e-06,""cross_minus_own_r2"":-0.0001688021029181419,""ar_hit"":0.44325924635914404,""car_hit"":0.4493545507978318,""own_hit"":0.4632731992159034,""cross_hit"":0.46389724228938806},{""asset"":""SOL"",""ar_r2"":-0.0016580952485942824,""car_r2"":-0.0002555527370056154,""own_r2"":8.207809219640261e-05,""cross_r2"":0.001135191432738769,""cross_minus_own_r2"":0.0010531133405423665,""ar_hit"":0.4051076163316841,""car_hit"":0.41467247586497863,""own_hit"":0.42088491795699495,""cross_hit"":0.42705693200936684},{""asset"":""XRP"",""ar_r2"":-0.002027751236359121,""car_r2"":-0.0018996524498164913,""own_r2"":0.0010889797524989975,""cross_r2"":0.0013427401118278892,""cross_minus_own_r2"":0.00025376035932889174,""ar_hit"":0.40998800634823884,""car_hit"":0.42207288035269835,""own_hit"":0.43056898837642027,""cross_hit"":0.4330651606703591}]",13.466002559543504,-11.213336605944392,-35.89267577143229,-85.25135410240807,ok,179.5
grid,5,best,single,5,10,80,grid|L10|R80|bar5|best|single|h5,-0.0028951937310055,0.4554510586466945,-0.0024649026867868,0.4637764013787027,-0.0007529913835585,0.4712276155181797,-0.0008504489586624,0.4741151164900096,-9.745757510384868e-05,0.0020447447723431,0.0016144537281244,12.573624632819076,-36.18172314156442,0.4871757073787249,1.0108191977439642,967680,12096,SOL,0.0006140125840439,"[{""asset"":""BTC"",""ar_r2"":-0.0029993160546033515,""car_r2"":-0.002393599198020846,""own_r2"":0.0003541353092730848,""cross_r2"":0.0007229032326711016,""cross_minus_own_r2"":0.0003687679233980168,""ar_hit"":0.45125353098193693,""car_hit"":0.46484256355767484,""own_hit"":0.47276647575608366,""cross_hit"":0.47594578484981986},{""asset"":""ETH"",""ar_r2"":-0.0029736181700970032,""car_r2"":-0.002838103910940193,""own_r2"":-0.0013685252648230062,""cross_r2"":-0.0020560552687769462,""cross_minus_own_r2"":-0.00068753000395394,""ar_hit"":0.4704838417083474,""car_hit"":0.47560162749112395,""own_hit"":0.48458703708502865,""cross_hit"":0.48557389794490374},{""asset"":""SOL"",""ar_r2"":-0.0024662438303806322,""car_r2"":-0.0016524960210988482,""own_r2"":-0.0010584605904389033,""cross_r2"":-0.00044444800639498183,""cross_minus_own_r2"":0.0006140125840439214,""ar_hit"":0.44926115012828155,""car_hit"":0.4548454142586882,""own_hit"":0.4609790862207479,""cross_hit"":0.46624925493041697},{""asset"":""XRP"",""ar_r2"":-0.003141596868941221,""car_r2"":-0.0029754116170876976,""own_r2"":-0.0009391149882453931,""cross_r2"":-0.001624195792148786,""cross_minus_own_r2"":-0.0006850808039033929,""ar_hit"":0.4508057117682121,""car_hit"":0.4598160002073237,""own_hit"":0.4665778630108586,""cross_hit"":0.46869152823489774}]",12.573624632819076,-11.804049254372671,-36.18172314156442,-84.93707091594791,ok,267.8
grid,5,best,single,10,10,80,grid|L10|R80|bar5|best|single|h10,-0.0050570976306563,0.4836809478889153,-0.0050411010889288,0.4874633294287165,-0.0037657173407965,0.4911096540785968,-0.0040290899392168,0.492351011226637,-0.0002633725984202,0.0010280076914395,0.001012011149712,7.182484779050403,-31.53859829182076,0.4973424437410023,0.8027881818221074,967680,12096,SOL,0.0001390797053146,"[{""asset"":""BTC"",""ar_r2"":-0.004891224539814054,""car_r2"":-0.0048333704432612645,""own_r2"":-0.002940114849913744,""cross_r2"":-0.0033220118726107195,""cross_minus_own_r2"":-0.00038189702269697534,""ar_hit"":0.4814143696808235,""car_hit"":0.48756776928897966,""own_hit"":0.4937408647516767,""cross_hit"":0.4949070666652845},{""asset"":""ETH"",""ar_r2"":-0.0049823426918469416,""car_r2"":-0.00519668916688687,""own_r2"":-0.0038260378690682106,""cross_r2"":-0.004391384740935589,""cross_minus_own_r2"":-0.0005653468718673782,""ar_hit"":0.48922325769434105,""car_hit"":0.4914851710947785,""own_hit"":0.49578819700001037,""cross_hit"":0.4960504628525817},{""asset"":""SOL"",""ar_r2"":-0.004625036854624787,""car_r2"":-0.004104873967239353,""own_r2"":-0.003789383236544319,""cross_r2"":-0.0036503035312296372,""cross_minus_own_r2"":0.00013907970531468195,""ar_hit"":0.481226740750723,""car_hit"":0.4836120123980221,""own_hit"":0.48603874900224947,""cross_hit"":0.4896679693573968},{""asset"":""XRP"",""ar_r2"":-0.005729786436339479,""car_r2"":-0.006029470778327939,""own_r2"":-0.0045073334076597416,""cross_r2"":-0.004752659612091259,""cross_minus_own_r2"":-0.0002453262044315174,""ar_hit"":0.4828594234297739,""car_hit"":0.4871883649330859,""own_hit"":0.4888708055604507,""cross_hit"":0.4887785460312853}]",7.182484779050403,-12.178056756385178,-31.53859829182076,-70.25968136269194,ok,118.0
